tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text
İnternetin yarısı şuanda göçmüş durumda. #Cloudflare arkasında sunucunuz varsa siz de göçmüş durumdasınız.,i̇nternetin yarısı şuanda göçmüş durumda.  arkasında sunucunuz varsa göçmüş durumdasınız.,negative,4,tr
@mertyuksekgonul @mertunsal2020 İstanbul'da kişi başına düşen veri sayısı=2(iki),  i̇stanbul'da kişi başına düşen veri sayısı=(iki),negative,0,tr
Gecenin şarkısı...  https://t.co/yBwaKJ3c6r,gecenin şarkısı...  ,positive,3,tr
"Tehlikeli bir oltalama tuzağı. Adres çubuğu Chrome tabanlı tarayıcılarda belli bir scrolldan sonra kayboluyor, bunu… https://t.co/2HyJwBOGDr","tehlikeli oltalama tuzağı. adres çubuğu chrome tabanlı tarayıcılarda belli scrolldan kayboluyor, bunu… ",negative,3,tr
RT @MIT_CSAIL: 3 years ago MIT grad student Katie Bouman led the creation of a new algorithm to produce the first-ever image of a black hol…,rt   years ago mit grad student katie bouman led the creation of new algorithm to produce the first-ever image of black hol…,positive,3,km
Sana bugün bir GAN'dan baktım aziz İstanbul #styletransfer #gan #neuralnetwork https://t.co/kcs4aGIUKv,bugün gan'dan baktım aziz i̇stanbul    ,negative,4,tr
Kimsenin (okuldaki hocaların bile) inanmadığı fen lisesi robot takımına sponsor olup bizi ABD'de destekleyen Sayın… https://t.co/pIafJpq6VX,kimsenin (okuldaki hocaların bile) inanmadığı fen lisesi robot takımına sponsor abd'de destekleyen sayın… ,negative,0,tr
"@rdincel1 Çok teşekkürler geri bildirimin için, hemen müdehale ediyorum."," teşekkürler geri bildirimin için, hemen müdehale ediyorum.",positive,2,tr
"@GurayYildirimTR MIT ile lisansladım hocam, teşekkürler :)"," mit lisansladım hocam, teşekkürler :)",positive,2,tr
Aynı zamanda linux terminali üzerinden hızlıca dosyanın içeriğini gönderip linkini alabilirsiniz. https://t.co/AerLsZGNP4,aynı zamanda linux terminali üzerinden hızlıca dosyanın içeriğini gönderip linkini alabilirsiniz. ,positive,2,tr
Basit bir web arayüzü üzerinden şifrelenmiş ve belirli zaman aralıklarında aktif olan metinleri paylaşabilirsiniz. https://t.co/7GN1RtGCFm,basit web arayüzü üzerinden şifrelenmiş belirli zaman aralıklarında aktif metinleri paylaşabilirsiniz. ,positive,0,tr
Pastebin gibi yazı paylaşma servislerinin muadilini kendi sunucularında kullanmak isteyenler için bir proje gelişti… https://t.co/i2jnFRSRYM,pastebin yazı paylaşma servislerinin muadilini sunucularında kullanmak isteyenler proje gelişti… ,negative,3,tr
Reklamin basinda import edilen go kutuphanesinin de kaynak kodlari su sekilde. https://t.co/WgjIkYr7ih,reklamin basinda import edilen go kutuphanesinin kaynak kodlari su sekilde. ,negative,4,tr
Peak Games televizyon reklamciliginin en kaliteli reklamini yapmis bulundu. Helal.,peak games televizyon reklamciliginin kaliteli reklamini yapmis bulundu. helal.,positive,3,tr
https://t.co/CERuA8L1je @CyberCamp2019 CTF'deki Web soruları hakkında görüşlerimi ve bulduğum çözümleri yazdım . #Writeup #CTF #CyberCamp19,  ctf'deki web soruları hakkında görüşlerimi bulduğum çözümleri yazdım .   ,positive,2,tr
"RT @fermatslibrary: Today's paper answers a simple question: Why some things are darker when wet?
You just need some basic knowledge about…","rt  today's paper answers simple question: why some things are darker when wet?
you just need some basic knowledge about…",positive,4,en
#STMCTF yarışmasındaki PINkodu sorusunun çözümü hakkındaki görüşlerimi paylaştım. @stmctf #CaptureTheFlag https://t.co/yWx2Wm3zpJ, yarışmasındaki pinkodu sorusunun çözümü hakkındaki görüşlerimi paylaştım.   ,negative,2,tr
RT @BitIntegrity: WHO DID THIS https://t.co/YnnDryRnL4,rt  who did this ,positive,1,en
Simple i18n utility for @reactjs and other JS frameworks. Make translations simple again.#reactjs #i18n https://t.co/HnHmLU4Mwg,simple in utility for  and other js frameworks. make translations simple again.  ,positive,2,en
RT @conormyhrvold: Marmaray: An #OpenSource Generic Data Ingestion &amp; Dispersal Framework and Library for Apache @Hadoop https://t.co/tXRGbj…,rt  marmaray: an  generic data ingestion &amp; dispersal framework and library for apache  ,positive,2,hy
"@afshinea @ergenekonyigit Very useful resources, keep going on👍","  very useful resources, keep going on",positive,2,en
RT @KoymenKadir: Kaloriferden yükselen hava perdeyi sallıyor.,rt  kaloriferden yükselen hava perdeyi sallıyor.,negative,0,tr
"RT @iamdevloper: programmers: Facebook is so shady, I don't trust them one iota. You should all delete your accounts.

also programmers: Ye…","rt  programmers: facebook is so shady, don't trust them one iota. you should all delete your accounts.

also programmers: ye…",positive,4,en
"@fkadev Anlaması zor kişi olduğu için değil de bir önceki nesilden biri olduğu için vurgulanmış bence ""anne"" kelimesi."," anlaması zor kişi önceki nesilden vurgulanmış bence ""anne"" kelimesi.",negative,0,tr
"@yazilimci_adam Parantezlerin, noktalı virgüllerin, slash karakterinin yeri çok daha anlamlı. O yüzden  özellikle k… https://t.co/IKpSFKrHBC"," parantezlerin, noktalı virgüllerin, slash karakterinin yeri anlamlı. yüzden  özellikle k… ",negative,0,tr
"@yazilimci_adam Alıştıktan sonra aynı duyguları, hatta belki de daha fazlasını Türkçe klavye için hissedeceksin"," alıştıktan aynı duyguları, fazlasını türkçe klavye hissedeceksin",positive,3,tr
@fatihacet Bu kaza sanırım commit rekoru kırmana vesile oldu :), kaza sanırım commit rekoru kırmana vesile :),positive,0,tr
"RT @ProfFeynman: The FEYNMAN Problem-Solving Algorithm:
i) write down the problem;
ii) think very hard;
iii) write down the answer.","rt  the feynman problem-solving algorithm:
i) write down the problem;
ii) think very hard;
iii) write down the answer.",positive,3,en
You will get the blue screen even if you are a info screen... #UseLinux https://t.co/zedtIMrGaq,you will get the blue screen even if you are info screen...  ,positive,4,en
RT @b0rk: an amazing directory: /proc https://t.co/717UPpvami,rt  an amazing directory: /proc ,positive,1,my
Kod yazmak konusunda ciddi düşünüyorsanız ingilizce bir klavye almanızı şiddetle tavsiye ederim.,kod yazmak konusunda ciddi düşünüyorsanız ingilizce klavye almanızı şiddetle tavsiye ederim.,negative,4,tr
'Javascript'le backend mi yazılır yea' diyen arkadaşlara sevgilerimle... https://t.co/1F9cZtlbpX,'javascript'le backend yazılır yea' diyen arkadaşlara sevgilerimle... ,negative,3,tr
RT @eastdakota: Why we’re switching to ARM-based servers in one image. Both servers running the same workload at the same performance. http…,rt  why we’re switching to arm-based servers in one image. both servers running the same workload at the same performance. ,positive,3,en
"RT @jessitron: Q: what cannot be done by a computer?
A: that which cannot be defined by a human.","rt  q: what cannot be done by computer?
a: that which cannot be defined by human.",positive,2,en
"Bir yanda tosuncuğa giden 511M $, öte yanda GBA'nın 96x çarpanla Insider'dan exit etmesi.

https://t.co/Trv2Re7nKF","yanda tosuncuğa giden m $, yanda gba'nın x çarpanla insider'dan exit etmesi.

",positive,2,tr
RT @nixcraft: Somebody sent me this one https://t.co/UIP6OkkyIc,rt  somebody sent me this one ,positive,1,en
@SelmanKahyaX yapalim abi buralardayiz, yapalim abi buralardayiz,positive,1,tr
"RT @FeyizliLinkler: Responsive css yazan herkesin okuması lazım!
Telif hakkına girmeyin sonra 😝
https://t.co/99PiXOChmD https://t.co/JjYL4Y…","rt  responsive css yazan okuması lazım!
telif hakkına girmeyin 
 ",negative,1,tr
"RT @GoyGoyTR: DB:Cassandra ,Cache:Redis,API:Node.js,Backend:RubyonRails,Front:Angular.js,StatCounter:Hadoop,PageCache:Varnish,Proje=&gt;Torbal…","rt  db:cassandra ,cache:redis,api:node.js,backend:rubyonrails,front:angular.js,statcounter:hadoop,pagecache:varnish,proje=&gt;torbal…",positive,3,be
Bedavadan 75 TL. Çok şanslıyım. Hemen bu linke tiklamaliyim. #phishing #oltalama #siber #tehdit https://t.co/ylYV8DUczX,bedavadan  tl. şanslıyım. hemen linke tiklamaliyim.     ,positive,1,tr
RT @Mudemrtas: Revenge Of Robots @ProfDemirtas https://t.co/sdgYnOf0af,rt  revenge of robots  ,positive,3,zh
"RT @KrauseFx: GitHub now warns you if one of your dependencies has a known security vulnerability, this is great 🚨 https://t.co/rniOf3fkLv","rt  github now warns you if one of your dependencies has known security vulnerability, this is great  ",positive,1,en
RT @Onurkertal: İlk dolandırılma hikayem 7 yaşında 9999999 in 1 atari oyununu almamla başladı,rt  i̇lk dolandırılma hikayem  yaşında  in  atari oyununu almamla başladı,negative,2,tr
"RT @lemiorhan: Let's clarify:
* Jira is not Agile
* Open Source is not Free
* Using cloud is not DevOps
* Rituals is not Scrum
* Developed…","rt  let's clarify:
* jira is not agile
* open source is not free
* using cloud is not devops
* rituals is not scrum
* developed…",positive,1,en
Aşağı scroll edince aniden yaşlanmışlık hissi geliyor sağdan sağdan https://t.co/YztBOJdM9H,aşağı scroll edince aniden yaşlanmışlık hissi geliyor sağdan sağdan ,negative,0,tr
"O hub başka hub, bildiğiniz gibi değil.","hub başka hub, bildiğiniz değil.",negative,0,tr
RT @herkesicinrobot: @inno_campus ekibi ve Buğra Yılmaz'a hediyeleri için çok teşekkür ederiz. https://t.co/AnPiyK6rxi,rt   ekibi buğra yılmaz'a hediyeleri teşekkür ederiz. ,negative,2,tr
RT @herkesicinrobot: #InnoCampus konteynerınde 3D baskı anahtarlıklarımızı bastık. Müthiş bir deneyim... https://t.co/Skfx0qGLY8,rt   konteynerınde d baskı anahtarlıklarımızı bastık. müthiş deneyim... ,positive,1,tr
Sanırım yol yapmak yerine bayramların sayısını artırırsak şehrin trafik sorununu çözebiliriz  #RamazanBayramıMesajım,sanırım yol bayramların sayısını artırırsak şehrin trafik sorununu çözebiliriz  ,negative,3,tr
RT @fikrimobil: #fikrimobilyarifinal küçük çocukların ögrenirken hareket etmelerini de sağlayan MoveUp @kworkscenter #fikrimobil https://t.…,rt   küçük çocukların ögrenirken hareket etmelerini sağlayan moveup   ,positive,0,tr
RT @fikrimobil: #Fikrimobil yarı final egitimleri #minimumviableproduct ile devam ediyor #marshmallowchallenge @KocIncubation https://t.co/…,rt   yarı final egitimleri  devam   ,positive,4,tr
RT @YAFL_FRC5773: We visited the Consulate General of Turkey in Chicago. https://t.co/O93SakQdgp,rt  we visited the consulate general of turkey in chicago. ,positive,2,hi
RT @YAFL_FRC5773: We visited Francis W. Parker Schools and met Robotics Colonels Team3135. Thanks for hospitality and kind approaches. http…,rt  we visited francis w. parker schools and met robotics colonels team. thanks for hospitality and kind approaches. ,positive,0,en
RT @YAFL_FRC5773: FRC 2016-YAFL Mechatronics Chairman's Video https://t.co/3uKkgC8ptP,rt  frc -yafl mechatronics chairman's video ,positive,4,hi
Damacana güzel şey https://t.co/aGy05M3aEk,damacana güzel ,negative,4,tr
Bedenler ölür. Fikirler asla... https://t.co/00BDvtvtg1,bedenler ölür. fikirler asla... ,positive,2,tr
Zorla okutulmaya çalışılan kitaplardan oldum olası nefret etmişimdir. Hem kitaplardan hem de okutmaya çalışanlardan,zorla okutulmaya çalışılan kitaplardan oldum olası nefret etmişimdir. kitaplardan okutmaya çalışanlardan,negative,3,tr
Model United Nations a geldik... (@ Beykent Üniversitesi w/ 75 others) http://t.co/D5TCGHQlPk,model united nations geldik... (@ beykent üniversitesi w/  others) ,positive,0,tr
RT @Ekrem_Imamoglu: Yaşar Acar Fen Lisesi öğrencisi arkadaşlarıma ziyaretleri için teşekkür ederim. http://t.co/6W5LF1Ngp5,rt  yaşar acar fen lisesi öğrencisi arkadaşlarıma ziyaretleri teşekkür ederim. ,negative,3,tr
İTÜRO 2014'ün ilk günü oldukça eğlenceliydi. Güzel bir yarışma yarından itibaren bizi bekliyor. #ituro2014,i̇türo 'ün ilk günü oldukça eğlenceliydi. güzel yarışma yarından bekliyor. ,positive,4,tr
"RT @ErhanErkut: Adam ""Batinin ozlemini duydugu demokrasi bizde var"" dedi mi hakikaten, ben mi oyle duydum?","rt  adam ""batinin ozlemini duydugu demokrasi bizde var"" dedi hakikaten, oyle duydum?",negative,0,tr
Biz yine ülke olarak bir şeyi beceremiyoruz,ülke beceremiyoruz,negative,2,tr
Koka Kola ??? http://t.co/yzaD0YQt0q,koka kola ??? ,negative,4,be
RT @Ekrem_Imamoglu: Beylikdüzü'nün vitrininde Belediye Başkanı olmayacak.Bilim alanında bu ödülleri alan Beylikdüzü'nün GENÇLERİ olacak. ht…,rt  beylikdüzü'nün vitrininde belediye başkanı olmayacak.bilim alanında ödülleri alan beylikdüzü'nün gençleri̇ olacak. ht…,positive,2,tr
Bugüne kadar dolmuşlarda rastladığım en tuhaf olaylardan biri http://t.co/wqwE6Ll5lM,bugüne dolmuşlarda rastladığım tuhaf olaylardan ,negative,4,tr
"RT @yafes2011: Yasar Fen Lisesi ogrencileri, Uluslararası Robot Yarismasina  hazır. http://t.co/g3bIFI2UO5","rt  yasar fen lisesi ogrencileri, uluslararası robot yarismasina  hazır. ",positive,0,tr
Bugün ilkokula giden kuzenime Tetris ve Mario'yu anlattım.Bizim zamanımızda bu oyunlar vardı diye nutuk çektim bir de.Yaşlanıyor muyuz lan,bugün ilkokula giden kuzenime tetris mario'yu anlattım.bizim zamanımızda oyunlar nutuk çektim de.yaşlanıyor muyuz lan,negative,2,tr
Anybody Can Learn- http://t.co/qi1sfaqW0l: http://t.co/DTdsKaWATd,anybody can learn-  ,positive,3,en
Eylül Akşamı (ZAGABAND): http://t.co/okpfNpLok8 @youtube aracılığıyla,eylül akşamı (zagaband):   aracılığıyla,negative,4,tr
Oytun'la beraber yaptığımız NXT tabanlı uzaktan kumandalı araç http://t.co/Py7z9FgGT4,oytun'la beraber yaptığımız nxt tabanlı uzaktan kumandalı araç ,positive,3,tr
efeşittirema,efeşittirema,positive,3,tr
RT @9GAG: When someone says “ten years ago” I think about the 90’s not 2003.,rt  when someone says “ten years ago” think about the ’s not .,positive,1,en
"@Kerestemuduru Otur ders çalış, ineklemek için silmedin mi la sen Whatsapp'i :D"," otur ders çalış, ineklemek silmedin la whatsapp'i :d",positive,4,tr
@Kerestemuduru Tabiyki adagah, tabiyki adagah,positive,3,az
ÇARE RHİZOBİUM BAKTERİLERİ,çare rhi̇zobi̇um bakteri̇leri̇,negative,1,tr
@Kerestemuduru @insansahafi Giden gitmiştir gittiği gün bitmiştir mine hanım...,  giden gitmiştir gittiği gün bitmiştir mine hanım...,positive,3,tr
Evcil hayvanım @insansahafi,evcil hayvanım ,positive,2,tr
"Metronom düşük, sözler acılı","metronom düşük, sözler acılı",negative,0,tr
@MirrorMirrorr tamam., tamam.,positive,1,tr
@MirrorMirrorr keşke tam tersi olsaydı, keşke tersi olsaydı,negative,2,tr
"#MekanınCennetOlsunNejatUygur Türk tiyatrosunun ""güldüren amca""sıydı. Mekanı cennet olsun"," türk tiyatrosunun ""güldüren amca""sıydı. mekanı cennet",positive,4,tr
Tüm manyakları çekmek gibi özel bir yeteneğim varmış. Yeni keşfettim,manyakları çekmek özel yeteneğim varmış. yeni keşfettim,positive,3,tr
@insansahafi @vay_efendim yargılayanları yargılayanı yargıladın ?,  yargılayanları yargılayanı yargıladın ?,positive,4,tr
Birileri huzur denen şeyi Şebnem Ferah'ın ses tellerine gizlemiş olmalı,birileri huzur denen şebnem ferah'ın ses tellerine gizlemiş olmalı,negative,4,tr
Bugün Fahri hocanın dersin ortasında Fade To Black'i söylemesi şüphesiz ki günün en güzel gelişmesiydi,bugün fahri hocanın dersin ortasında fade to black'i söylemesi şüphesiz günün güzel gelişmesiydi,positive,4,tr
Cumhuriyetimizin 90. yaşı kutlu olsun... #29EkimCumhuriyetBayramıKutluOlsun,cumhuriyetimizin . yaşı kutlu olsun... ,positive,2,tr
@insansahafi Doymadım amk :D, doymadım amk :d,positive,0,tr
"I'm at Gloria Jean's Coffees (İstanbul, Türkiye) http://t.co/HZIZFvSyhr","i'm at gloria jean's coffees (i̇stanbul, türkiye) ",positive,2,tr
Kendimi eğitim sistemini habire değiştiren adamlar gibi hissediyorum,kendimi eğitim sistemini habire değiştiren adamlar hissediyorum,positive,0,tr
Kahrolsun işlem hataları,kahrolsun işlem hataları,negative,4,tr
Sözlerimi Geri Alamam (Bulutsuzluk Özlemi): http://t.co/8bgx93O12v @youtube aracılığıyla,sözlerimi geri alamam (bulutsuzluk özlemi):   aracılığıyla,positive,4,tr
Aleyna da olmasa neyle eğlenicez anasını satıyım,aleyna olmasa neyle eğlenicez anasını satıyım,negative,3,tr
@vay_efendim gülnur her zamanki gibi zeka fışkırıyorsun. Arkadaşın doğum gününde çekildiğimiz bir fotoğraftı o yüzden şeettim, gülnur zamanki zeka fışkırıyorsun. arkadaşın doğum gününde çekildiğimiz fotoğraftı yüzden şeettim,positive,1,tr
@vay_efendim Maytaplar yanmadıydı o yüzdendir belki, maytaplar yanmadıydı yüzdendir,negative,2,tr
Why so serious ? http://t.co/v0jtji6dgV,why so serious ? ,positive,4,km
"Bir gün ""Untitled"" adı altında açtığım klasörlerin arasında boğulup öleceğim","gün ""untitled"" adı altında açtığım klasörlerin arasında boğulup öleceğim",negative,2,tr
@OnrKrbyk Toplayıcı :), toplayıcı :),positive,4,tr
Age of Empires 3'teki Osmanlı askerleri gibi konuşan insanlardan nefret ediyorum,age of empires 'teki osmanlı askerleri konuşan insanlardan nefret ediyorum,negative,1,tr
Bayram sevincini bir gün değil her gün yaşamanız dileğiyle. Iyi bayramlar,bayram sevincini gün gün yaşamanız dileğiyle. iyi bayramlar,positive,3,tr
RT @onurkok: Puanı tıp a yetip mühendislik okuyanlara !... http://t.co/Q5u4OhSsgy,rt  puanı tıp yetip mühendislik okuyanlara !... ,negative,3,tr
@SerkanBilsel Bir an önce yap özlettin kendini üstad \m/, an yap özlettin üstad \m/,positive,2,tr
@insansahafi Aleyna'nın florası: Tuvalet deliği, aleyna'nın florası: tuvalet deliği,negative,0,tr
Din karmaşası yaşayan bir tabela. Pentagram ve hilal... Ilginç http://t.co/BgJZO371qw,din karmaşası yaşayan tabela. pentagram hilal... ilginç ,negative,2,tr
@insansahafi Tebrikler karşim :))))), tebrikler karşim :))))),positive,4,tr
@Hippogriffs @OnrKrbyk Bilmiyoruz,  bilmiyoruz,negative,2,tr
Bu havalarda elbette ki en iyi giden ikili Ahmet Kaya şarkıları ve çay,havalarda iyi giden ikili ahmet kaya şarkıları çay,positive,2,tr
@idealistgenc @OnurSnmez2 @sevgiyesiltepe OLUM OKULUN ÖNÜ BİZİM OTOSTOP MEKANIMIZ. ADAM OLUN...,   olum okulun önü bi̇zi̇m otostop mekanimiz. adam olun...,positive,3,tr
#MekaninCennetOlsunTuncelKurtiz,,positive,0,unk
"3 bilgisayar dili, 2 yabancı dil ve Türkçe biliyorum ve bunlar bile Çobankent'le anlaşabilmem için yeterli değil","bilgisayar dili,  yabancı dil türkçe biliyorum çobankent'le anlaşabilmem yeterli",positive,1,tr
QBASIC'i inceledikçe sanki tarihi araştırma yapıyormuş gibi hissediyorum. Buram buram tarih kokuyor.,qbasic'i inceledikçe tarihi araştırma yapıyormuş hissediyorum. buram buram tarih kokuyor.,positive,3,tr
RT @muharremtac: Türkiye'de hiç bir başarı cezasız kalmaz.,rt  türkiye'de başarı cezasız kalmaz.,positive,3,tr
Üniversiteye hazırlık kursları ders 1: Batak nedir ? Nasıl oynanır ?,üniversiteye hazırlık kursları ders : batak nedir ? oynanır ?,negative,2,tr
"RT @9GAG: My timeline right now:
iOS 7
GTA 5
iOS 7
iOS 7
GTA 5
iOS 7
iOS 7
and some hoe talkin bout she lonely","rt  my timeline right now:
ios 
gta 
ios 
ios 
gta 
ios 
ios 
and some hoe talkin bout she lonely",positive,1,ka
"@MirrorMirrorr Sevip sevmemek ayrı mesele, gereksiz bir konu. Banane abi z nin modülünden, imajiner kısmından"," sevip sevmemek ayrı mesele, gereksiz konu. banane abi z modülünden, imajiner kısmından",negative,4,tr
İlaç firmalarının verdiği kalemler de olmasa ülkece tükenmez kalem kıtlığı çekicez anasını satıyım.,i̇laç firmalarının verdiği kalemler olmasa ülkece tükenmez kalem kıtlığı çekicez anasını satıyım.,negative,4,tr
SİVİT ÇAYLD O MAYN.,si̇vi̇t çayld mayn.,negative,1,tr
Bilene basıyoruz...,bilene basıyoruz...,positive,4,tr
@insansahafi full indir hd indir ücretsiz indir, full indir hd indir ücretsiz indir,positive,3,tr
"http://t.co/D1vevlctPw Yeni sezon dosyaları açıklanmış, umarım güzel bir sezon olur, tüm takımlara başarılar..."," yeni sezon dosyaları açıklanmış, umarım güzel sezon olur, takımlara başarılar...",positive,1,tr
Davul çalmayı özledim.,davul çalmayı özledim.,negative,4,tr
Kendimi ağırlığı ve sürtünmesi önemsiz piston gibi hissediyorum,kendimi ağırlığı sürtünmesi önemsiz piston hissediyorum,negative,4,tr
"Olimpiyatlar İstanbul'da olsaydı iyi olurdu, güzel olurdu, hoş olurdu ama karşıdaki rakip Tokyo, mantıklı olan da oydu bence","olimpiyatlar i̇stanbul'da olsaydı iyi olurdu, güzel olurdu, hoş olurdu karşıdaki rakip tokyo, mantıklı oydu bence",negative,4,tr
@zeynepseymaK Biraz mantık lütfen.Sevilmiyoruz diye kompleks yapacağımıza metro altyapılarına bir bakalım istersen... http://t.co/HgDAzMF8wi, mantık lütfen.sevilmiyoruz kompleks yapacağımıza metro altyapılarına bakalım istersen... ,negative,4,tr
@insansahafi g.a.y(16) arkadaşı b.t(16) nin sözünü çalarak twit attı o artık bir bad görl., g.a.y() arkadaşı b.t() sözünü çalarak twit attı bad görl.,negative,3,tr
Siz yine hala ananızın margarinini mi kullanıyorsunuz ?,ananızın margarinini kullanıyorsunuz ?,negative,4,tr
Şeytan bunun neresinde ?,şeytan neresinde ?,negative,4,tr
Gençler aşk acısını siktir edin. Dolar 2 lirayı geçti siz hala aşk acısı diyorsunuz.,gençler aşk acısını siktir edin. dolar  lirayı geçti aşk acısı diyorsunuz.,negative,4,tr
RT @MirrorMirrorr: BURAK=SİLİVRİLİ GİBİ SİLİVRİLİ,rt  burak=si̇li̇vri̇li̇ gi̇bi̇ si̇li̇vri̇li̇,positive,0,tr
Anlıyorum ama konuşamıyorum,anlıyorum konuşamıyorum,negative,1,tr
RT @cbabdullahgul: insan gerçekten hayret ediyor.,rt  insan gerçekten hayret ediyor.,positive,3,tr
#30AğustosZaferBayramıKUTLUOLSUN,,positive,0,unk
