tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text
"CRYPTOSIM ürünümüz, TR-TEST Test ve Değerlendirme A.Ş. tarafından yapılan testleri başarı ile geçmiş ve “Ürün Uygun… https://t.co/QoBfWPyyhy","cryptosim ürünümüz, tr-test test ve değerlendirme a.ş. tarafından yapılan testleri başarı ile geçmiş ve “ürün uygun… ",positive,tr,9
"İdlib'deki hava saldırısında şehit düşen askerlerimize Allah’tan rahmet, yaralılarımıza acil şifalar dileriz. 
Mill… https://t.co/TesVkcJ3r0","i̇dlib'deki hava saldırısında şehit düşen askerlerimize allah’tan rahmet, yaralılarımıza acil şifalar dileriz. 
mill… ",positive,tr,9
"RT @siberkume: Üye firmalarımız arasında 2019 yılında yapılan iş birlikleri, Türkiye Siber Güvenlik Kümelenmesi 2.Sektör Zirvesinde katılım…","rt  üye firmalarımız arasında 2019 yılında yapılan iş birlikleri, türkiye siber güvenlik kümelenmesi 2.sektör zirvesinde katılım…",negative,tr,5
Türkiye Siber Güvenlik Kümelenmesi Test ve Sertifikasyon Projesi kapsamında #cryptosim ürün uygunluk sertifikamızı… https://t.co/TkAXvTvyMo,türkiye siber güvenlik kümelenmesi test ve sertifikasyon projesi kapsamında  ürün uygunluk sertifikamızı… ,positive,tr,1
"RT @siberkume: Türkiye Siber Güvenlik Kümelenmesi 2.Sektör Zirvesinde, En Fazla Ülkeye İhracat Yapan Firma Ödülü Zemana'ya, Küme Faaliyetle…","rt  türkiye siber güvenlik kümelenmesi 2.sektör zirvesinde, en fazla ülkeye i̇hracat yapan firma ödülü zemana'ya, küme faaliyetle…",positive,tr,7
"Ar-Ge Mühendislerimiz Songül Erdem ve Ali Kerem Güler Bakırköy İHL'de ""Yapay Zeka Farkındalık"" semineri verdiler.… https://t.co/ueeSDWHWPF","ar-ge mühendislerimiz songül erdem ve ali kerem güler bakırköy i̇hl'de ""yapay zeka farkındalık"" semineri verdiler.… ",positive,tr,6
"Türkiye Siber Güvenlik Kümelenmesi tarafından düzenlenen 2. Sektör Zirvesi'nde, Küme Faaliyetlerine Katılım Ödülünü… https://t.co/Wm2WxUpiP5","türkiye siber güvenlik kümelenmesi tarafından düzenlenen 2. sektör zirvesi'nde, küme faaliyetlerine katılım ödülünü… ",positive,tr,5
"Üyesi olduğumuz @siberkume tarafından düzenlenen 2. Sektör Zirvesi başladı. CRYPTTECH olarak, 22-23 Şubat tarihleri… https://t.co/9hRjWN14fB","üyesi olduğumuz  tarafından düzenlenen 2. sektör zirvesi başladı. crypttech olarak, 22-23 şubat tarihleri… ",positive,tr,5
"""Nemty"" konulu blog yazımız yayımlanmıştır. https://t.co/wgRw6rW7yw #nemty #nemtyanalysis #nemtyanalizi… https://t.co/si8f09AoDU","""nemty"" konulu blog yazımız yayımlanmıştır.     ",positive,tr,3
"Accelerate and watch again! How can you track time-spanned events ?

You won't miss the relativity between events b… https://t.co/9j1N3IImjp","accelerate and watch again! how can you track time-spanned events ?

you won't miss the relativity between events b… ",positive,en,7
"Hızlandırıp tekrar izleyin! 

Zamana yayılmış olayları nasıl takip edebilirsiniz ? 

Aktif listeler ile onları hızl… https://t.co/DHYjLvs0lB","hızlandırıp tekrar izleyin! 

zamana yayılmış olayları nasıl takip edebilirsiniz ? 

aktif listeler ile onları hızl… ",positive,tr,7
"Siber Güvenlik Kış Kampının son gününde #crypttechacademy eğitmenlerinden, Yasin Sağlam ve Burak Tahtacı “#SIEM ve… https://t.co/rUGhE8L37C","siber güvenlik kış kampının son gününde  eğitmenlerinden, yasin sağlam ve burak tahtacı “ ve… ",negative,tr,0
"RT @SiberKulupler: Siber Güvenlik Kış Kampı sona ermiştir. Tüm eğitmenlerimize ve katılımcılarımıza teşekkür ederiz.
SIEM-SOC - Ali İhsan Ü…","rt  siber güvenlik kış kampı sona ermiştir. tüm eğitmenlerimize ve katılımcılarımıza teşekkür ederiz.
siem-soc - ali i̇hsan ü…",positive,tr,2
Siber Güvenlik Kış Kampında #cryptosim ürün müdürümüz Ali İhsan Ünaldı’nın #siem #soc eğitimi tüm hızıyla devam edi… https://t.co/wZ1RtK6YFA,siber güvenlik kış kampında  ürün müdürümüz ali i̇hsan ünaldı’nın   eğitimi tüm hızıyla devam edi… ,positive,tr,2
"Our article ""Using Word2Vec and Word Mover Distance Approaches For Semantic Document Similarity"" has published by… https://t.co/FrIkwVPdIe","our article ""using word2vec and word mover distance approaches for semantic document similarity"" has published by… ",positive,km,5
"CRYPTTECH #ailab tarafından hazırlanan ""Anlamsal Doküman Benzerliğinde Word2Vec ve Word Mover Uzaklığı Yaklaşımları… https://t.co/prB8oXLYHO","crypttech  tarafından hazırlanan ""anlamsal doküman benzerliğinde word2vec ve word mover uzaklığı yaklaşımları… ",negative,tr,4
Geçmiş olsun Türkiye :( #Elazıg #elazıgdeprem #elazigsivrice #deprem https://t.co/lgdEqfSJ3o,geçmiş olsun türkiye :(     ,negative,tr,6
"Siber Güvenlik Kış Kampında #cryptosim Ürün Müdürümüz Ali ihsan Ünaldı ""SIEM-SOC"" eğitimini verecektir. Siber Güven… https://t.co/7WNHZcu2hp","siber güvenlik kış kampında  ürün müdürümüz ali ihsan ünaldı ""siem-soc"" eğitimini verecektir. siber güven… ",negative,tr,5
"RT @siberkume: SIEM-SOC - Ali İhsan ÜNALDI- Crypttech
Siber Güvenlik Kış Kampı 27-31 Ocak'ta Bahçeşehir Üniversitesinde!
@crypttech 
@Bahce…","rt  siem-soc - ali i̇hsan ünaldi- crypttech
siber güvenlik kış kampı 27-31 ocak'ta bahçeşehir üniversitesinde!
 
",positive,tr,5
“Brambul” konulu blog yazımız yayımlanmıştır. https://t.co/LJ8d5gnta1  #brambul #blueteam #hiddencobra #lazarus… https://t.co/ChweTrGtmj,“brambul” konulu blog yazımız yayımlanmıştır.       ,positive,tr,3
BUSİBER Kış Kampının sertifika töreninde Teknik Çözüm Müdürümüz @burhancanmaya kapanış konuşmasını gerçekleştirdi.… https://t.co/RFDDRTyxgK,busi̇ber kış kampının sertifika töreninde teknik çözüm müdürümüz  kapanış konuşmasını gerçekleştirdi.… ,positive,tr,0
BÜSİBER Kış Kampı’nda #crypttechacademy eğitmenleri; #siem #logyönetimi #sızmatesti #MachineLearning #yapayzeka tek… https://t.co/PSHAXzHhda,büsi̇ber kış kampı’nda  eğitmenleri;      tek… ,positive,tr,9
"""Dridex"" konulu blog yazımız yayımlanmıştır. 👉https://t.co/TuvYaz4uA1 #dridex #atombombing #maldoc #malware… https://t.co/YS9zMc7e4n","""dridex"" konulu blog yazımız yayımlanmıştır.      ",positive,tr,3
"""Fuzzing ve AFL"" konulu blog yazımız yayımlanmıştır: https://t.co/3xNYTKjeH9

#afl #crashanalysis #fuzz… https://t.co/LOFmdfSgPk","""fuzzing ve afl"" konulu blog yazımız yayımlanmıştır: 

   ",positive,tr,3
Sponsorları arasında yer aldığımız BÜSİBER Kış Kampı 13-17 Ocak tarihlerinde gerçekleştirilecektir. Kamp programı k… https://t.co/b0okd1JYXY,sponsorları arasında yer aldığımız büsi̇ber kış kampı 13-17 ocak tarihlerinde gerçekleştirilecektir. kamp programı k… ,positive,tr,9
"Our article ""Using Gaussian Mixture Models For Speaker Recognition "" has published by #crypttechailab… https://t.co/QIpg9YyKcC","our article ""using gaussian mixture models for speaker recognition "" has published by  ",positive,km,8
"""Konuşmacı Tanımada Gauss Karışımı Modelinin Kullanılması"" konulu makalemiz #crypttechailab tarafından yayımlanmışt… https://t.co/1CbHObnHwc","""konuşmacı tanımada gauss karışımı modelinin kullanılması"" konulu makalemiz  tarafından yayımlanmışt… ",negative,tr,0
#HappyNewYear #HappyHolidays #happynewyear2020 #2020 https://t.co/jK7sVRrezT,    ,positive,unk,0
"Sevdiklerinizle birlikte sağlık, mutluluk ve huzur dolu nice yıllar dileklerimizle...  #mutluyıllar #niceyıllara  #… https://t.co/fDT9C1UaQn","sevdiklerinizle birlikte sağlık, mutluluk ve huzur dolu nice yıllar dileklerimizle...      ",positive,tr,9
Uygulamalarınızın CRYPTOSPOT'a Entegrasyonunu Hızlıca Sağlayın! Kendi geliştirdiğiniz uygulamalarınızı ve sistemler… https://t.co/Ne3IONhtkF,uygulamalarınızın cryptospot'a entegrasyonunu hızlıca sağlayın! kendi geliştirdiğiniz uygulamalarınızı ve sistemler… ,positive,tr,8
Akıllı cihazların siber güvenlik testlerinin yapılması amacıyla İstanbul Üniversitesi-Cerrahpaşa'da kurulan ISTEC a… https://t.co/trm0pGUEWX,akıllı cihazların siber güvenlik testlerinin yapılması amacıyla i̇stanbul üniversitesi-cerrahpaşa'da kurulan istec a… ,negative,tr,5
"""Verilerin Sınıflandırılmasında Kosinüs Benzerliği Yaklaşımının Kullanılması"" konulu makalemiz #crypttechailab tara… https://t.co/D6nUcAEyhR","""verilerin sınıflandırılmasında kosinüs benzerliği yaklaşımının kullanılması"" konulu makalemiz  tara… ",positive,tr,0
"Our article ""Using Cosine Similarity Approach for Data Classification"" has published by #crypttechailab.… https://t.co/jfHvX5roPv","our article ""using cosine similarity approach for data classification"" has published by  ",positive,km,5
Sponsorları arasında yer aldığımız Trend Micro Partner Day etkinliğinde Teknik Çözüm Müdürümüz Burhan Ünal Canmaya… https://t.co/Hlk19K0u7I,sponsorları arasında yer aldığımız trend micro partner day etkinliğinde teknik çözüm müdürümüz burhan ünal canmaya… ,negative,tr,7
"Ağınızdaki Hareketleri Gözden Kaçırmayın!#unitmon'un #agizleme özelliği;Verilen ağ aralığını sürekli izleme,ağa yen… https://t.co/IrMhlV3fAd","ağınızdaki hareketleri gözden kaçırmayın!  özelliği;verilen ağ aralığını sürekli izleme,ağa yen… ",positive,tr,5
"Wirofy HotSpot çözümü, kaynak gereksinimini ve dolayısıyla ilk edinim maliyetini ortadan kaldırır.  Tüm işlemlerini… https://t.co/Z7DUHIowsQ","wirofy hotspot çözümü, kaynak gereksinimini ve dolayısıyla ilk edinim maliyetini ortadan kaldırır.  tüm işlemlerini… ",negative,tr,0
"Register the Internet Access with Electronic Consent Management, Compatible with the General Data Protection Regula… https://t.co/DVnoFg96kd","register the internet access with electronic consent management, compatible with the general data protection regula… ",positive,km,5
Elektronik İleti İzni ile İnternet Erişimlerini KVKK'ya Uyumlu Olarak Kayıt Altına Alın! #cryptospot ile ağ ziyaret… https://t.co/9fcGnl5Z05,elektronik i̇leti i̇zni ile i̇nternet erişimlerini kvkk'ya uyumlu olarak kayıt altına alın!  ile ağ ziyaret… ,positive,tr,7
"""Lokibot Analizi"" konulu blog yazımız yayımlanmıştır.  https://t.co/eCPB4pubV2
#lokibot #lokibotanalizi… https://t.co/G4n37uquhG","""lokibot analizi"" konulu blog yazımız yayımlanmıştır.  
  ",negative,tr,3
Ön tanımlı paketler ile ürünlerinizin CRYPTOSIM’e entegrasyonunu kolayca sağlayın. Yeni ürünlerinizin paketlerinin… https://t.co/hgXlWBe0TI,ön tanımlı paketler ile ürünlerinizin cryptosim’e entegrasyonunu kolayca sağlayın. yeni ürünlerinizin paketlerinin… ,positive,tr,8
"Sevgi, sabır ve özveri ile mesleklerini icra eden tüm öğretmenlerimizin “24 Kasım Öğretmenler Günü” kutlu olsun...… https://t.co/nODoM3c5kt","sevgi, sabır ve özveri ile mesleklerini icra eden tüm öğretmenlerimizin “24 kasım öğretmenler günü” kutlu olsun...… ",positive,tr,6
"UNITMON having multiple vulnerability scanning engines and advanced reports, you can see your vulnerabilities in th… https://t.co/DQwr5VmZob","unitmon having multiple vulnerability scanning engines and advanced reports, you can see your vulnerabilities in th… ",positive,en,1
"6698 sayılı Kişisel Verilerin Korunması Kanunu'na uyum için çıkarılan Teknik Tedbirler kapsamında, her kurum Sızma… https://t.co/OjHgTCPWbr","6698 sayılı kişisel verilerin korunması kanunu'na uyum için çıkarılan teknik tedbirler kapsamında, her kurum sızma… ",negative,tr,6
"ICWC19'da Danışmanımız Doç. Dr. Berk Üstündağ ""Artificial Intelligence in Cyber Security"" konulu sunumunu 20 Kasım,… https://t.co/iBEDv2izkw","icwc19'da danışmanımız doç. dr. berk üstündağ ""artificial intelligence in cyber security"" konulu sunumunu 20 kasım,… ",positive,tr,4
"Our valuable Associate Dr. Berk Üstündağ will make his presentation on ""Artificial Intelligence in Cyber ​​Security… https://t.co/v1lDjCopyT","our valuable associate dr. berk üstündağ will make his presentation on ""artificial intelligence in cyber ​​security… ",positive,en,6
"CRYPTTECH ile @IntelProbe arasında stratejik çözüm ve iş ortaklığı anlaşması imzalanmıştır. Bu anlaşma ile;
📌Siber… https://t.co/Efweh2Hg3c","crypttech ile  arasında stratejik çözüm ve iş ortaklığı anlaşması imzalanmıştır. bu anlaşma ile;
siber… ",positive,tr,7
"Aramızdan ayrılışının 81. yılında Atamızı, özlem, minnet ve saygıyla anıyoruz... #10kasım #Atatürk #10Kasım1938… https://t.co/yr6OvnbMN9","aramızdan ayrılışının 81. yılında atamızı, özlem, minnet ve saygıyla anıyoruz...    ",positive,tr,1
"T.C. Savunma Sanayii Başkanlığımızın 34. Kuruluş yılını gururla kutlarız. 
@SavunmaSanayii 
#ssb #sibergüvenlik… https://t.co/wejXZj9zh4","t.c. savunma sanayii başkanlığımızın 34. kuruluş yılını gururla kutlarız. 
 
  ",positive,tr,7
"Last 2 weeks for CWC 4th International Cyber ​​War and Security Conference.
Don't forget to register!… https://t.co/oQJO1K2y2R","last 2 weeks for cwc 4th international cyber ​​war and security conference.
don't forget to register!… ",positive,en,1
"Sponsorları arasında yer aldığımız, ICWC 4. Uluslararası Siber Savaş ve Güvenlik Konferansı için son 2 hafta. Onlin… https://t.co/Mph2Rwpqf6","sponsorları arasında yer aldığımız, icwc 4. uluslararası siber savaş ve güvenlik konferansı için son 2 hafta. onlin… ",positive,tr,5
"Agent Tesla zararlısının analizini konu alan ""Agent Tesla"" başlıklı blog yazımız yayımlanmıştır.… https://t.co/6ZHUDS0C1p","agent tesla zararlısının analizini konu alan ""agent tesla"" başlıklı blog yazımız yayımlanmıştır.… ",negative,tr,9
#STMCTF2019'da üçüncülüğün sahibi olan #ctzer0 Siber güvenlik takımımızı tebrik ederiz. #CaptureTheFlag… https://t.co/evFPed1U0I, üçüncülüğün sahibi olan  siber güvenlik takımımızı tebrik ederiz.  ,positive,tr,5
29 Ekim Cumhuriyet Bayramımız kutlu olsun. #29EKİM #29EkimCumhuriyetBayramıkutluolsun… https://t.co/1SZz2OBEjS,29 ekim cumhuriyet bayramımız kutlu olsun.   ,positive,tr,6
#CumhuriyeteDoğru https://t.co/D775CJmyIo, ,positive,unk,0
Captain Faisal Amir from Naval Head Quarters of Pakistan has visited our Istanbul offices and discussed possible fu… https://t.co/tKMs68379A,captain faisal amir from naval head quarters of pakistan has visited our istanbul offices and discussed possible fu… ,positive,km,9
Pakistan Deniz Kuvvetlerinden Yüzbaşı Faisal Amir İstanbul ofislerimizi ziyaret ederek kurucumuz Alper Yılmaz ile b… https://t.co/xIXhfux3eV,pakistan deniz kuvvetlerinden yüzbaşı faisal amir i̇stanbul ofislerimizi ziyaret ederek kurucumuz alper yılmaz ile b… ,negative,tr,5
Teknik Çözüm Müdürümüz Burhan Ünal CANMAYA’nın Yerli ve Milli Teknolojiler oturumunun panelistleri arasında yer ald… https://t.co/qJ3kYLbmcs,teknik çözüm müdürümüz burhan ünal canmaya’nın yerli ve milli teknolojiler oturumunun panelistleri arasında yer ald… ,negative,tr,2
"Teknik Çözüm Müdürümüz Burhan Ünal Canmaya'nın ""Yerli ve Milli Teknolojiler"" oturumunda konuşmacı olacağı Anadolu B… https://t.co/hLfebuaVCy","teknik çözüm müdürümüz burhan ünal canmaya'nın ""yerli ve milli teknolojiler"" oturumunda konuşmacı olacağı anadolu b… ",negative,tr,8
"Hukuk Müşavirimiz Av. Ömer Özer ve değerli panelistlerin yer alacağı ""CIO Zirvesi"" 23 Ekim'de düzenlenecek LCV:… https://t.co/YNdDYkvKEz","hukuk müşavirimiz av. ömer özer ve değerli panelistlerin yer alacağı ""cio zirvesi"" 23 ekim'de düzenlenecek lcv:… ",positive,tr,2
#BarısPınarıHerakatı #BarisPinariHarekati @TurkSilahliKuv https://t.co/m5GVXjz4aB,   ,positive,unk,0
8. Boğaziçi Siber Güvenlik Zirvesi’nde Hukuk Müşavirimiz @av_omerozer’in “KVKK ve Yapay Zeka” konulu sunumu yoğun i… https://t.co/ZaFrBjwXsD,8. boğaziçi siber güvenlik zirvesi’nde hukuk müşavirimiz  “kvkk ve yapay zeka” konulu sunumu yoğun i… ,positive,tr,5
"RT @BUsiber: 10 Ekim 8. Boğaziçi Siber Güvenlik ve KVKK Ekosistem Zirvesinde  @crypttech hukuk müşaviri @avomerozer #KVKK ve yapay ""Zeki"" a…","rt  10 ekim 8. boğaziçi siber güvenlik ve kvkk ekosistem zirvesinde   hukuk müşaviri   ve yapay ""zeki"" a…",negative,tr,5
"""FAME - Fame Automates Malware Evaluation"" başlıklı blog yazımız yayımlanmıştır: https://t.co/v30Uolo2ZA 
#fame… https://t.co/qFexi1faVy","""fame - fame automates malware evaluation"" başlıklı blog yazımız yayımlanmıştır:  
 ",negative,tr,3
"8. Boğaziçi BUSİBER Siber Güvenlik ve KVKK Ekosistem  Zirvesi'nde Hukuk Müşavirimiz @av_omerozer ""Kişisel Veriler v… https://t.co/pIKTh8afQy","8. boğaziçi busi̇ber siber güvenlik ve kvkk ekosistem  zirvesi'nde hukuk müşavirimiz  ""kişisel veriler v… ",negative,tr,5
October is Cyber Security Awareness Month  / Ekim Siber Güvenlik Farkındalık Ayı #CyberSecurityAwarenessMonth… https://t.co/QoShvEC25y,october is cyber security awareness month  / ekim siber güvenlik farkındalık ayı  ,negative,tr,2
@SavunmaSanayii Başkanlığı himayesinde @siberkume tarafından düzenlenen Kamu Milli Siber Güvenlik Zirvesi’nde milli… https://t.co/9g8NsHywPy, başkanlığı himayesinde  tarafından düzenlenen kamu milli siber güvenlik zirvesi’nde milli… ,positive,tr,5
"Hukuk Danışmanımız @av_omerozer, CTO'muz @tkobalas'ın  konuşmacıları arasında yer aldığı ""Siber Savunma Zirvesi"" ya… https://t.co/vOdKgBLpBg","hukuk danışmanımız  cto'muz   konuşmacıları arasında yer aldığı ""siber savunma zirvesi"" ya… ",negative,tr,5
"""NanoCore RAT Zararlı Analizi"" konulu blog yazımız yayımlanmıştır. 
https://t.co/ekSyeoOlCH #netmalware #blueteam… https://t.co/1oqLqpVFdt","""nanocore rat zararlı analizi"" konulu blog yazımız yayımlanmıştır. 
   ",negative,tr,3
"""GRR - Google Rapid Response"" konulu blog yazımız yayımlanmıştır. Okumak için lütfen tıklayınız:… https://t.co/p33FYj5yhA","""grr - google rapid response"" konulu blog yazımız yayımlanmıştır. okumak için lütfen tıklayınız:… ",positive,tr,3
Hukuk Danışmanımız @av_omerozer ve CTO'muz @tkobalas  'ın konuşmacıları arasında yer alacağı Siber Güvenlik Formu 0… https://t.co/1TCpIFC8Yh,hukuk danışmanımız  ve cto'muz   'ın konuşmacıları arasında yer alacağı siber güvenlik formu 0… ,positive,tr,5
"UNITMON v1.92.0 Has Been Released 
Please click for details: https://t.co/0cfDY5THNK #unitmon #unifieditmonitoring… https://t.co/Tm6u3TSmpZ","unitmon v1.92.0 has been released 
please click for details:    ",negative,en,0
UNITMON V1.92.0 Yayımlandı.Detaylar için lütfen tıklayınız: https://t.co/46puW3OWZs #unitmon #unifieditmonitoring… https://t.co/HqegOt8rKP,unitmon v1.92.0 yayımlandı.detaylar için lütfen tıklayınız:    ,negative,tr,0
"Türkiye'nin en büyük Siber Güvenlik Yaz Kampı @SavunmaSanayii himayelerinde, @siberkume, @SiberKulupler organizasyo… https://t.co/gDFFwFZUmu","türkiye'nin en büyük siber güvenlik yaz kampı  himayelerinde,   organizasyo… ",positive,tr,8
"Siber Küme Yaz Kampı'nın son gününde Hukuk Danışmanımız @av_omerozer ""Bilgi Güvenliği"" eğitiminde değerli katılımcı… https://t.co/t3OpJ5erM8","siber küme yaz kampı'nın son gününde hukuk danışmanımız  ""bilgi güvenliği"" eğitiminde değerli katılımcı… ",negative,tr,5
"Siber Küme Yaz Kampı'nda ArGe Mühendisimiz Burak Tahtacı ""Yapay Zeka ve Uygulamaları"" eğitiminde katılımcılarla, an… https://t.co/UnAtaEd0fW","siber küme yaz kampı'nda arge mühendisimiz burak tahtacı ""yapay zeka ve uygulamaları"" eğitiminde katılımcılarla, an… ",negative,tr,9
Siber Küme Yaz Kampı’nda #cryptosim Ürün Müdürümüz Ali ihsan Ünaldı ve Siber Güvenlik Mühendisimiz Büşra ÖZTÜRK tar… https://t.co/wautKOUoqH,siber küme yaz kampı’nda  ürün müdürümüz ali ihsan ünaldı ve siber güvenlik mühendisimiz büşra öztürk tar… ,negative,tr,5
"Siber Küme Yaz Kampı'nda, ArGe Mühendisimiz M. Yasin SAĞLAM’ın “Yapay Zeka ve Uygulamaları"" eğitimi tüm hızıyla dev… https://t.co/pSAmF0GuB9","siber küme yaz kampı'nda, arge mühendisimiz m. yasin sağlam’ın “yapay zeka ve uygulamaları"" eğitimi tüm hızıyla dev… ",positive,tr,9
"@SavunmaSanayii Başkanlığı Siber Güvenlik ve Bilişim Sistemleri Grup Bşk. Sn. Mustafa Özçelik, SSB Müşaviri Sn. Alp… https://t.co/aY9oA1YDLo"," başkanlığı siber güvenlik ve bilişim sistemleri grup bşk. sn. mustafa özçelik, ssb müşaviri sn. alp… ",negative,tr,5
"Siber Küme Yaz Kampı'nda Bilgi Güvenliği Mühendisimiz Yunus YILDIRIM ""Exploit Geliştirme"" eğitimini yarın da verece… https://t.co/ioChDk0ExK","siber küme yaz kampı'nda bilgi güvenliği mühendisimiz yunus yildirim ""exploit geliştirme"" eğitimini yarın da verece… ",negative,tr,5
Türkiye'nin en büyük Siber Güvenlik Yaz Kampı'nda #crypttechacademy eğitmenleri genç katılımcılara farklı uzmanlık… https://t.co/B9HZ6yWPxY,türkiye'nin en büyük siber güvenlik yaz kampı'nda  eğitmenleri genç katılımcılara farklı uzmanlık… ,positive,tr,8
"Siber Küme Yaz Kampı'nda Bilgi Güvenliği Mühendisimiz  Yunus YILDIRIM ""Exploit Geliştirme"" eğitimini verecektir. 
D… https://t.co/GQ0a7Vm3R5","siber küme yaz kampı'nda bilgi güvenliği mühendisimiz  yunus yildirim ""exploit geliştirme"" eğitimini verecektir. 
d… ",positive,tr,5
