id,texts,labels,PREPROCESSED_texts
10,beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim ,negative,beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim
11,aldığım ilk günden beri 1. kademede kullandım ilk defa 2. kademe de kullanayım dedim dumanlar cıktı. çok kötü basarısız ve dayanıksız bir ürün,negative,aldığım ilk günden beri 1. kademede kullandım ilk defa 2. kademe de kullanayım dedim dumanlar çıktı . çok kötü başarısız ve dayanıksız bir ürün
12,"ilk kullanımda yandı. sadece 1,5 dakika kadar kullanamadım. üflemesi çok zayıf. iğrenç bir plastik kokusu var. şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor. acaba ürünlerden en kötüsü bana mı denk geldi.",negative,"ilk kullanımda yandı . sadece 1,5 dakika kadar kullanamadım . üflemesi çok zayıf . iğrenç bir plastik kokusu var . şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor . acaba ürünlerden en kötüsü bana mı denk geldi ."
13,arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor.,negative,arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor .
14,verdiğim paraya yazık i̇yi göründüğüne bakmayın almayın...,negative,verdiğim paraya yazık iyi göründüğüne bakmayın almayın ...
15,çok gürültülü çalışıyor. ayrıca üfleme gücü yetersiz. isı ayarı arasında neredeyse fark yok gibi. otellerde ki saç kurutma makineleri performansında,negative,çok gürültülü çalışıyor . ayrıca üfleme gücü yetersiz . ısı ayarı arasında neredeyse fark yok gibi . otellerde ki saç kurutma makineleri performansında
16,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor.,negative,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor .
17,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor. çok rahatsız edici. ayrıca ürün malzeme kalitesi de hiç güzel değil. i̇ade ettim. sıradan bir makine,negative,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor . çok rahatsız edici . ayrıca ürün malzeme kalitesi de hiç güzel değil . iade ettim . sıradan bir makine
18,makine aşırı yüksek sesli ve verdigi hava yetersiz,negative,makine aşırı yüksek sesle ve verdiği hava yetersiz
19,ürün performansı fiyatına göre oldukça iyi. malzemesi de kaliteli. ,negative,ürün performansı fiyatına göre oldukça iyi . malzemesi de kaliteli .
20,ancak ionic özelliği yani elektriklenmeyi engelleme özelliği sıfır. ya üründe yok ya da bana satılan üründe koymayı unutmuşlar. gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda.,negative,ancak Sonic özelliği yani elektriklenmeyi engelleme özelliği sıfır . ya üründe yok ya da bana satılan üründe koymayı unutmuşlar . gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda .
21,arzum markasına güvenerek aldım fakat fön çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor. tavsiye etmem.,negative,arzum markasına güvenerek aldım fakat fon çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor . tavsiye etmem .
22,plastik malzemesi kaliteli değil. çıkan sese kıyasla üflediği hava az. bu fiyata bu kadar..,negative,plastik malzemesi kaliteli değil . çıkan sese kıyasla üflediği hava az . bu fiyata bu kadar . .
23,hepsi burada vok hizli gonderi fakat arzumun kalitesi hic iyi değil ,negative,hepsi burada vok hızlı gönderi fakat arzumun kalitesi hiç iyi değil
24,"prima eski kalitesinden taviz vermeye başladı. eskiden hiç sızma görmezdik şimdi 5 numara büyük bez olmasına rağmen bezde sızma oluyor, çocuk 3 yaşında tabi idrarda artma oluyor ama bez de büyük. ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni...",negative,"prima eski kalitesinden taviz vermeye başladı . eskiden hiç sızma görmezdik şimdi 5 numara büyük bez olmasına rağmen bezde sızma oluyor , çocuk 3 yaşında tabi idrarda artma oluyor ama bez de büyük . ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni ..."
25,prima 1 ve 2 numarada sorun yoktu ama 3 numara çok ağır plastik kokuyor.,negative,prima 1 ve 2 numarada sorun yoktu ama 3 numara çok ağır plastik kokuyor .
26,her yaptığı kaka olduğu gibi dışına cikiyor,negative,her yaptığı kaka olduğu gibi dışına çıkıyor
27,malzeme kalitesi markette satılan gibi değil. orta kısımlarında delikler var. çamaşır değiştirmek durumunda kalıyoruz. ,negative,malzeme kalitesi markette satılan gibi değil . orta kısımlarında delikler var . çamaşır değiştirmek durumunda kalıyoruz .
28,kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi 4 ten aşağı bezlenmiyor. uygun fiyata almıştık fiyatına göre muamele yaptı..,negative,kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi 4 ten aşağı bezlenilmiyor . uygun fiyata almıştık fiyatına göre muamele yaptı . .
29,arkadaslar gunduz sikinti yok.gece cocuk sirilsiklam oluyor.yeni mikro teknolojisi berbat kaciriyor.bi önceki versiyonda sikinti yoktu...,negative,arkadaşlar gündüz sıkıntı yok . gece çocuk sırılsıklam oluyor . yeni mikro teknolojisi berbat kaçırıyor . bir önceki versiyonda sıkıntı yoktu ...
30,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat,negative,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat
31,"son aldigim 2 kutudan hic memnun kalmadım.bez ortasindan kiyafete sızdırıyor, prima ya yakışmadı. bu tur sikayetleri görünce de iyice emin oldum. baska marka deneyeceğim",negative,"son aldığı 2 kutudan hiç memnun kalmadım . bez ortasından kıyafete sızdırıyor , prima ya yakışmadı . bu tür şikayetleri görünce de iyice emin oldum . başka marka deneyeceğim"
32,çok pahalı vede yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bidaha mümkün deyil,negative,çok pahalı ve de yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bir daha mümkün değil
33,"eski urunler gibi degil. daha ince ve sizdiriyor. 2 yildir cocugun kiyafetine sizma olmadi ancak son aldigim bezlerde neredeyse hergun kiyafetine sizma oluyor. eski bezlerimle kiyasladim, hem daha ince, renk tonu farkli, cizgiler ve yazilar farkli. tavsiye etmiyorum almayin.",negative,"eski ürünler gibi değil . daha ince ve sızdırıyor . 2 yıldır çocuğun kıyafetine sızma olmadı ancak son aldığım bezlerde neredeyse hergün kıyafetine sızma oluyor . eski bezlerimle kıyasladım , hem daha ince , renk tonu farklı , çizgiler ve yazılar farklı . tavsiye etmiyorum almayın ."
34,son aldığımız paketten hiç memnun kalmadık. zaman zaman çocuğun üzerine geçirdi.,negative,son aldığımız paketten hiç memnun kalmadık . zaman zaman çocuğun üzerine geçirdi .
35,kesinlikle eski ürünler gibi değil. dikkat edin.ince ve sızdırıyor. paketinin üstünde bulgarca yazıyor sanırım fazla kalan ürün.diğer primalar gibi değil.beğenmedim.,negative,kesinlikle eski ürünler gibi değil . dikkat edin . ince ve sızdırıyor . paketinin üstünde bulgarca yazıyor sanırım fazla kalan ürün . diğer primalar gibi değil . beğenmedim .
36,"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı. gündüzler tamam ama geceleri tavsiye etmiyorum, premium olanı kullanıyorıuz.",negative,"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı . gündüzler tamam ama geceleri tavsiye etmiyorum , premium olanı kullanıyoruz ."
37,sürekli sızdırıyor.önceki kullandığım prima ürünlerine hiç benzemiyor.,negative,sürekli sızdırıyor . önceki kullandığım prima ürünlerine hiç benzemiyor .
38,prima satın aldım. ancak sebebi her neyse pampers marka geldi. bu da fena degil ama.,negative,prima satın aldım . ancak sebebi her neyse pampers marka geldi . bu da fena değil ama .
39,geceleri sızdırıyor. ,negative,geceleri sızdırıyor .
40,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük,negative,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük
41,gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük,negative,gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük
42,idare eder,negative,idare eder
43,kızım 12 kilo aldığımız bez 11-18 kilo arası 4+kullanıyorduk küçük geliyor diye 5 numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor. 4+tada aynı sorun vardı. sanırım 2 günde bir yatak değiştirmeye devam edecegiz,negative,kızım 12 kilo aldığımız bez 11-18 kilo arası 4 + kullanıyorduk küçük geliyor diye 5 numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor . 4 + tada aynı sorun vardı . sanırım 2 günde bir yatak değiştirmeye devam edeceğiz
44,urun aldik ama primanin eski kalitesi yok sabahlari bebegimiz uyandigimda alti  kiyafetleri islak bir sekilde buluyoruz primanin buna acil olarak bir cozum bulmasi gerekiyor,negative,ürün aldık ama primanın eski kalitesi yok sabahları bebeğimiz uyandığımda altı kıyafetleri ıslak bir şekilde buluyoruz primanın buna acil olarak bir çözüm bulması gerekiyor
45,"aldım ama kafamda soru işaretleri var,,,",negative,"aldım ama kafamda soru işaretleri var , , ,"
46,"bugune dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi. her defasında bez sızdırdı. hatta sızdırmak bile denmez, resmen süzgeç gibi alta geçiriyor. nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi. her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik.  ",negative,"bugüne dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi . her defasında bez sızdırdı . hatta sızdırmak bile denmez , resmen süzgeç gibi alta geçiriyor . nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi . her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik ."
47,"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocugu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı.",negative,"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocuğu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı ."
48,yenilenen kanallı bezler iyi değil. sürekli sızdırıyor. eskiler daha iyiydi.,negative,yenilenen kanallı bezler iyi değil . sürekli sızdırıyor . eskiler daha iyiydi .
49,bence kalitesini artık düşürmüş.ilk cocugumda da bu markayi kullandım o zaman daha iyiydi. çok sızdırıyor sürekli kıyafet değiştiriyoruz. değiştirmeyi düşünüyorum,negative,bence kalitesini artık düşürmüş . ilk çocuğumda da bu markayı kullandım o zaman daha iyiydi . çok sızdırıyor sürekli kıyafet değiştiriyoruz . değiştirmeyi düşünüyorum
50,2 senedir oğlum için kullandığım tek bezdi. son zamanlarada çok fazla sızdırıyor. kanal sistemine geçmeleri hiç iyi olmadı. bu haliyle rezalet. artık almayacağım. bir yıldız bile çok.,negative,2 senedir oğlum için kullandığım tek bezdi . son zamanlara da çok fazla sızdırıyor . kanal sistemine geçmeleri hiç iyi olmadı . bu haliyle rezalet . artık almayacağım . bir yıldız bile çok .
51,sızdırma yapiyor. birde islak mendil koyulsa koliye fena olmaz.,negative,sızdırma yapıyor . birde ıslak mendil koyulsa koliye fena olmaz .
52,gerçekten çok kötü kalitesi cok kotu bebegimin kiyafetleri hep nemli oluyor ve kakası sırtına cikiyor,negative,gerçekten çok kötü kalitesi çok kötü bebeğinin kıyafetleri hep nemli oluyor ve kakası sırtına çıkıyor
53,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kzım sabah uyandığında çişi bezin dışına taşıyor. i̇ncelmesinden diye düşünüyorum. memnuniyetim giderek azalıyor :(,negative,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kızım sabah uyandığında çişi bezin dışına taşıyor . incelmesinden diye düşünüyorum . memnuniyetim giderek azalıyor :(
54,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,negative,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum . kalite eski̇si̇ gi̇bi̇ değil sızdırıyor
55,eski prima daha iyiydi sabaha kadar tek bezle sizdirma yoktu ama su yenilenen 3 kanalli ile surekli gunduz bile sizdirmalar mevcut,negative,eski prima daha iyiydi sabaha kadar tek bezle sızdırma yoktu ama şu yenilenen 3 kanal ile sürekli gündüz bile sızdırmalar mevcut
56,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar 'a gönderdiler hiçbir sıkıntı yokmuş öle dediler kullanmaya devam ettim şuan prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde.,negative,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar ' a gönderdiler hiçbir sıkıntı yokmuş öyle dediler kullanmaya devam ettim şu an prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde .
57,bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,negative,bezi bağladıktan sonra her kontrol edisimizde bantların ayrıldığını görüyoruz . kalite gerçekten kötü .
58,pişik yapıyor,negative,pişik yapıyor
59,ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde. ya ürün kalitesi düştü yada burada satılan ürün kalitesiz. aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni. tavsiye etmiyorum ,negative,ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde . ya ürün kalitesi düştü yada burada satılan ürün kalitesiz . aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni . tavsiye etmiyorum
60,ilk 3 numaraya geçtiğimizde ürünü çok begendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi dusurduler,negative,ilk 3 numaraya geçtiğimizde ürünü çok beğendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi düşürdüler
61,aynı markanın eski bezlere nazaran daha ince altına yaptıgında sırtına kadar cıkıyor elbisede degistirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakısmadı bu ürün,negative,aynı markanın eski bezlere nazaran daha ince altına yaptığında sırtına kadar çıkıyor elbisede değiştirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakışmadı bu ürün
62,"prima yeni üç kanallı bezi sızdırıyor, eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum",negative,"prima yeni üç kanallı bezi sızdırıyor , eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanılıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum"
63,"prima da sızdırırsa artık ne alacaz bilemedim , 2 paket aldık bi de :(((",negative,"prima da sızdırırsa artık ne alacağız bilemedim , 2 paket aldık bir de :( ( ("
64,cocugumuz 2 yasinda ve dogdugu gunden beri prima kullaniyorduk..ta ki radikal bir karar verip fiyat rekabeti icin kalitenizden odun verene kadar..bu urun prima kalitesine yakismiyor..,negative,çocuğumuz 2 yaşında ve doğduğu günden beri prima kullanıyorduk . . ta ki radikal bir karar verip fiyat rekabeti için kalitenizden odun verene kadar . . bu ürün prima kalitesine yakışmıyor . .
65,ne yazıkki artık bezinizi almayacağım. çünkü sürekli sızdırma problemi oldu. i̇lk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bi şey değişmedi. artık prima kullanmayacağım. eski hali daha iyiydi bu bezin ilgililere duyurun lütfen.,negative,ne yazık ki artık bezinizi almayacağım . çünkü sürekli sızdırma problemi oldu . ilk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bir şey değişmedi . artık prima kullanmayacağım . eski hali daha iyiydi bu bezin ilgililere duyurun lütfen .
66,primanin indirimli bezlerinde kalite hataları var! o kadar sizdiryor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor!,negative,primanın indirimli bezlerinde kalite hataları var ! o kadar sızdırıyor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor !
67,i̇yi güzel,negative,iyi güzel
68,prima daha oncede kullandim ama bu kadar kalitesiz bir prima kullanmadik.yapistirma yeri kopuyor.hemen doluyor kalite sifir.tavsiye etmiyorum kimseye,negative,prima daha öncede kullandım ama bu kadar kalitesiz bir prima kullanmadık . yapıştırma yeri kopuyor . hemen doluyor kalite sıfır . tavsiye etmiyorum kimseye
69,sanki piyasadaki en kötü ürün gibi bir havası var. 3 yıldır kullanıyoruz prima artık tanınacak halde değil. başka markalarda arayışa başladık bile,negative,sanki piyasadaki en kötü ürün gibi bir havası var . 3 yıldır kullanıyoruz prima artık tanınacak halde değil . başka markalarda arayışa başladık bile
70,emici kanallar hiçte emici değil. nerdeee eski prima kalitesi.. maalesef bu yeni primayı hiç beğenmedim,negative,emici kanallar hiçte emici değil . nerdeee eski prima kalitesi . . maalesef bu yeni primayı hiç beğenmedim
71,primayı 1 yıldan fazla kullandık ta ki  eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler.ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar  çok kötü yorumları okumanızı tavsiye ederim...,negative,primayı 1 yıldan fazla kullandık ta ki eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler . ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar çok kötü yorumları okumanızı tavsiye ederim ...
72,yeni üretilen bezler incelmiş sanki. sürekli sızdırıyor. elimdekiler bitince farklı marka tercih edeceğim.,negative,yeni üretilen bezler incelmiş sanki . sürekli sızdırıyor . elimdekiler bitince farklı marka tercih edeceğim .
73,çok incelmiş. sızdırıyor. bildiğimiz prima değil... üzgünüm ama tavsiye etmiyorum... aldığıma pişman oldum...,negative,çok incelmiş . sızdırıyor . bildiğimiz prima değil ... üzgünüm ama tavsiye etmiyorum ... aldığıma pişman oldum ...
74,"sadece 1 numara bezde sorun yaşamadik, 2 ve 3 beden bezler çok kötü, hem sizdiriyor hem son dönemde pi̇şi̇k yapti, son paket bi̇tsi̇n bi̇r daha asla..",negative,"sadece 1 numara bezde sorun yaşamadık , 2 ve 3 beden bezler çok kötü , hem sızdırıyor hem son dönemde pi̇si̇k yaptı , son paket bi̇tsi̇n bir daha asla . ."
75,premium careden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu. kimseye önermem berbat,negative,premium çareden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu . kimseye önermem berbat
76,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bi değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bisi değil marketten vs yerden alincada aynı. bilmiyorum böyle düşünen varmı. ,negative,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bir değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bir şey değil marketten vs yerden Alina'da aynı . bilmiyorum böyle düşünen var mı .
77,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi. ancak fiyatı fena değil . alınabilir tavsiye ederim. memnunuz ,negative,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabii . ancak fiyatı fena değil . alınabilir tavsiye ederim . memnunuz
78,oğlum doğduğundan beri kullanıyorum.çok memnundum. ama bu yenilenen prima çok kötü.her gece kıyafet değiştiriyoruz.kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .,negative,oğlum doğduğundan beri kullanıyorum . çok memnundum . ama bu yenilenen prima çok kötü . her gece kıyafet değiştiriyoruz . kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .
79,kesinlike kaliteyi sıfırlamışlar.hem sızdırıyor hemde çırtlı yeri açılıyor.,negative,kesinlikle kaliteyi sıfırlamışlar . hem sızdırıyor hem de cırtlı yeri açılıyor .
80,yaklaşık 2 yıldır kullanıyorum.bu zamana kadar hiç şikayetim yoktu.son aldığım bez berbat.sızdırıyor.kalite düşmüş.tavsiye etmiyorum.,negative,yaklaşık 2 yıldır kullanıyorum . bu zamana kadar hiç şikayetim yoktu . son aldığım bez berbat . sızdırıyor . kalite düşmüş . tavsiye etmiyorum .
81,"son aldığım bezler sızdırıyor,eskiden aldıklarım böyle değildi.",negative,"son aldığım bezler sızdırıyor , eskiden aldıklarım böyle değildi ."
82,uzun zamandır kullanıyoruz. çok sıkıntı yaşamadık. tavsiye ederim...,negative,uzun zamandır kullanıyoruz . çok sıkıntı yaşamadık . tavsiye ederim ...
83,hiç eskisi gibi değil. artık sızdırıyor. neden böyle incelttiler anlamıyorum. herhalde para meselesi,negative,hiç eskisi gibi değil . artık sızdırıyor . neden böyle incelttiler anlamıyorum . herhalde para meselesi
84,"""son aldığım bez sızdırıyor"" ....  çok yazık !!!  böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil.. ",negative,""" son aldığım bez sızdırıyor "" ... . çok yazık ! ! ! böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil . ."
85,eskiden çok kaliteliydi. aama şuan üretilenler berbat. eski ürünler kalın ve muhteşem emicilik ve kuruluk saglıyordu. şuan üretilenler çok ince ve her çiş sızdırıyor. her çiş yapışından sonra bezle birlikte kıyafet te degişiyoruz. eski kalitesine dönmedigi sürece bu markayı asla kullanmayacagız,negative,eskiden çok kaliteliydi . ama şu an üretilenler berbat . eski ürünler kalın ve muhteşem emicilik ve kuruluk sağlıyordu . şu an üretilenler çok ince ve her çiş sızdırıyor . her çiş yapısından sonra bezle birlikte kıyafet te değişiyoruz . eski kalitesine dönmediği sürece bu markayı asla kullanmayacağız
86,yenilenen primayı beğenmedim. çünkü sızdırıyor her seferinde kızımın  bütün kıyafetlerini değiştirmek zorunda kalıyorum. en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası. umarım yorumlar dikkate alınır. siteden yana hiç bir sıkıntı yaşamadım.,negative,yenilenen primayı beğenmedim . çünkü sızdırıyor her seferinde kızımın bütün kıyafetlerini değiştirmek zorunda kalıyorum . en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası . umarım yorumlar dikkate alınır . siteden yana hiç bir sıkıntı yaşamadım .
87,pri̇ma kali̇tesi̇ tartişilmaz tabi̇ki̇de ama i̇nternetten alinnan i̇le marketten aldiğiniz arasinda fark edi̇lecek bi̇r i̇nceli̇k söz konusu.,negative,prizma kalı̇tesi̇ tartışılmaz tabi̇ki̇de ama İnternet'ten alınan ile marketten aldığınız arasında fark edi̇leçek bir i̇nceli̇k söz konusu .
88,20 aylık kızıma doğduğundan beri prima alıyoruz. hatta sürekli hepsi buradadan aldık ve alışverişimizde hiçbir problem yaşamadık. ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu. kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor. bir daha kesinlikle prima almam. ,negative,20 aylık kızıma doğduğundan beri prima alıyoruz . hatta sürekli hepsiburadadan aldık ve alışverişimizde hiçbir problem yaşamadık . ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu . kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor . bir daha kesinlikle prima almam .
89,yine hepsiburadaya devam ancak farklı bez tercihi ile.,negative,yine hepsiburadaya devam ancak farklı bez tercihi ile .
90,her zamankinden farklı geldi kalitesiz sizdiriyor tavsiye etmem,negative,her zamankinden farklı geldi kalitesiz sızdırıyor tavsiye etmem
91,yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,negative,yeniledik demişler ama mahvetmişler bezi . kalite sıfır . müthiş sızdırıyor . emicilik falan kalmamış . 2 kutu almıştım bir de ... . başka bez alacağım artık . tavsiye etmiyorum !
