id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
13,arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor.,negative,arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor,21,[],[]
14,verdiğim paraya yazık i̇yi göründüğüne bakmayın almayın...,negative,verdiğim paraya yazık iyi göründüğüne bakmayın almayın,46,[],[]
15,çok gürültülü çalışıyor. ayrıca üfleme gücü yetersiz. isı ayarı arasında neredeyse fark yok gibi. otellerde ki saç kurutma makineleri performansında,negative,çok gürültülü çalışıyor ayrıca üfleme gücü yetersiz ısı ayarı arasında neredeyse fark yok gibi otellerde ki saç kurutma makineleri performansında,19,"[('otellerde', 1.0)]","[('gürültülü çalışıyor', 4.0), ('otellerde', 1.0)]"
16,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor.,negative,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor,33,"[('günde teslim edildi', 9.0), ('ürünü aldım', 4.0), ('sesli çalışıyor', 4.0), ('makine', 1.0)]","[('günde teslim edildi', 9.0), ('ürünü aldım', 4.0), ('sesli çalışıyor', 4.0), ('makine', 1.0)]"
17,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor. çok rahatsız edici. ayrıca ürün malzeme kalitesi de hiç güzel değil. i̇ade ettim. sıradan bir makine,negative,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor çok rahatsız edici ayrıca ürün malzeme kalitesi de hiç güzel değil ifade ettim sıradan bir makine,22,"[('gürültü oluyor', 4.0), ('makine', 1.0)]","[('gürültü oluyor', 4.0), ('rahatsız edici', 4.0), ('güzel değil', 4.0), ('i̇ade ettim', 4.0), ('sıradan', 1.0), ('makine', 1.0)]"
18,makine aşırı yüksek sesli ve verdigi hava yetersiz,negative,makine aşırı yüksek sesle ve verdiği hava yetersiz,40,"[('verdiği hava yetersiz', 9.0)]","[('verdigi hava yetersiz', 9.0)]"
19,ürün performansı fiyatına göre oldukça iyi. malzemesi de kaliteli. ,negative,ürün performansı fiyatına göre oldukça iyi malzemesi de kaliteli,11,"[('kaliteli', 1.0)]","[('malzemesi', 1.0), ('kaliteli', 1.0)]"
20,ancak ionic özelliği yani elektriklenmeyi engelleme özelliği sıfır. ya üründe yok ya da bana satılan üründe koymayı unutmuşlar. gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda.,negative,ancak Sonic özelliği yani elektriklenmeyi engelleme özelliği sıfır ya üründe yok ya da bana satılan üründe koymayı unutmuşlar gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda,14,"[('ancak sonic özelliği', 9.0), ('üründe yok', 4.0)]","[('ancak ionic özelliği', 9.0), ('üründe yok', 4.0)]"
21,arzum markasına güvenerek aldım fakat fön çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor. tavsiye etmem.,negative,arzum markasına güvenerek aldım fakat fon çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor tavsiye etmem,42,[],"[('tavsiye etmem', 4.0)]"
22,plastik malzemesi kaliteli değil. çıkan sese kıyasla üflediği hava az. bu fiyata bu kadar..,negative,plastik malzemesi kaliteli değil çıkan sese kıyasla üflediği hava az bu fiyata bu kadar,29,"[('fiyata', 1.0), ('kadar', 1.0)]","[('fiyata', 1.0), ('kadar', 1.0)]"
23,hepsi burada vok hizli gonderi fakat arzumun kalitesi hic iyi değil ,negative,hepsi burada vok hızlı gönderi fakat arzumun kalitesi hiç iyi değil,34,"[('iyi değil', 4.0)]",[]
24,"prima eski kalitesinden taviz vermeye başladı. eskiden hiç sızma görmezdik şimdi 5 numara büyük bez olmasına rağmen bezde sızma oluyor, çocuk 3 yaşında tabi idrarda artma oluyor ama bez de büyük. ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni...",negative,prima eski kalitesinden taviz vermeye başladı eskiden hiç sızma görmezdik şimdi numara büyük bez olmasına rağmen bezde sızma oluyor çocuk yaşında tabi idrarda artma oluyor ama bez de büyük ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni,13,"[('şüphelendirdi şahsen', 4.0), ('bez', 1.0)]","[('şüphelendirdi şahsen', 4.0), ('eskiden', 1.0), ('bez', 1.0), ('büyük', 1.0)]"
25,prima 1 ve 2 numarada sorun yoktu ama 3 numara çok ağır plastik kokuyor.,negative,prima ve numarada sorun yoktu ama numara çok ağır plastik kokuyor,5,"[('numarada sorun yoktu', 9.0), ('ağır plastik kokuyor', 9.0), ('prima', 1.0), ('numara', 1.0)]","[('ağır plastik kokuyor', 9.0), ('prima 1', 1.0), ('3 numara', 1.0)]"
26,her yaptığı kaka olduğu gibi dışına cikiyor,negative,her yaptığı kaka olduğu gibi dışına çıkıyor,40,"[('yaptığı kaka olduğu', 9.0), ('dışına çıkıyor', 4.0)]","[('yaptığı kaka olduğu', 9.0), ('dışına cikiyor', 4.0)]"
27,malzeme kalitesi markette satılan gibi değil. orta kısımlarında delikler var. çamaşır değiştirmek durumunda kalıyoruz. ,negative,malzeme kalitesi markette satılan gibi değil orta kısımlarında delikler var çamaşır değiştirmek durumunda kalıyoruz,45,[],"[('değil', 1.0)]"
28,kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi 4 ten aşağı bezlenmiyor. uygun fiyata almıştık fiyatına göre muamele yaptı..,negative,kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi ten aşağı bezlenmiyor uygun fiyata almıştık fiyatına göre muamele yaptı,33,[],[]
29,arkadaslar gunduz sikinti yok.gece cocuk sirilsiklam oluyor.yeni mikro teknolojisi berbat kaciriyor.bi önceki versiyonda sikinti yoktu...,negative,arkadaşlar gündüz sıkıntı yokgece çocuk sırılsıklam oluyoryeni mikro teknolojisi berbat kaçırıyorbi önceki versiyonda sıkıntı yoktu,20,[],[]
30,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat,negative,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü saat,35,"[('sürekli kullandığım', 4.0)]","[('sürekli kullandığım', 4.0)]"
31,"son aldigim 2 kutudan hic memnun kalmadım.bez ortasindan kiyafete sızdırıyor, prima ya yakışmadı. bu tur sikayetleri görünce de iyice emin oldum. baska marka deneyeceğim",negative,son aldığım kutudan hiç memnun kalmadımbez ortasından kıyafete sızdırıyor prima ya yakışmadı bu tür şikayetleri görünce de iyice emin oldum başka marka deneyeceğim,23,"[('son aldığım kutudan', 9.0), ('tür şikayetleri görünce', 9.0), ('yakışmadı', 1.0)]","[('tur sikayetleri görünce', 9.0), ('iyice emin oldum', 9.0), ('baska marka deneyeceğim', 9.0), ('prima', 1.0), ('yakışmadı', 1.0)]"
32,çok pahalı vede yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bidaha mümkün deyil,negative,çok pahalı ve de yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bir daha mümkün değil,5,"[('kere aldım', 4.0), ('mümkün değil', 4.0), ('pahalı', 1.0), ('ucuz', 1.0), ('kaliteli', 1.0)]","[('ucuz', 1.0), ('kaliteli', 1.0)]"
33,"eski urunler gibi degil. daha ince ve sizdiriyor. 2 yildir cocugun kiyafetine sizma olmadi ancak son aldigim bezlerde neredeyse hergun kiyafetine sizma oluyor. eski bezlerimle kiyasladim, hem daha ince, renk tonu farkli, cizgiler ve yazilar farkli. tavsiye etmiyorum almayin.",negative,eski ürünler gibi değil daha ince ve sızdırıyor yıldır çocuğun kıyafetine sızma olmadı ancak son aldığım bezlerde neredeyse hergün kıyafetine sızma oluyor eski bezlerimle kıyasladım hem daha ince renk tonu farklı çizgiler ve yazılar farklı tavsiye etmiyorum almayın,25,"[('eski ürünler', 4.0), ('değil', 1.0), ('ince', 1.0)]","[('tavsiye etmiyorum almayin', 9.0), ('eski bezlerimle kiyasladim', 8.5), ('renk tonu farkli', 8.5), ('eski urunler', 4.5), ('yazilar farkli', 4.5), ('degil', 1.0), ('ince', 1.0), ('sizdiriyor', 1.0), ('cizgiler', 1.0)]"
34,son aldığımız paketten hiç memnun kalmadık. zaman zaman çocuğun üzerine geçirdi.,negative,son aldığımız paketten hiç memnun kalmadık zaman zaman çocuğun üzerine geçirdi,19,"[('son aldığımız paketten', 9.0)]","[('son aldığımız paketten', 9.0), ('memnun kalmadık', 4.0)]"
35,kesinlikle eski ürünler gibi değil. dikkat edin.ince ve sızdırıyor. paketinin üstünde bulgarca yazıyor sanırım fazla kalan ürün.diğer primalar gibi değil.beğenmedim.,negative,kesinlikle eski ürünler gibi değil dikkat edinince ve sızdırıyor paketinin üstünde bulgarca yazıyor sanırım fazla kalan üründiğer primalar gibi değilbeğenmedim,9,"[('kesinlikle eski ürünler', 9.0), ('değil dikkat edinince', 9.0), ('değilbeğenmedim', 1.0)]","[('kesinlikle eski ürünler', 9.0), ('dikkat edin', 4.0), ('diğer primalar', 4.0), ('değil', 1.0), ('ince', 1.0), ('sızdırıyor', 1.0), ('beğenmedim', 1.0)]"
36,"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı. gündüzler tamam ama geceleri tavsiye etmiyorum, premium olanı kullanıyorıuz.",negative,bezde bir yenilik yaptılar ardından geceleri sızdırma başladı gündüzler tamam ama geceleri tavsiye etmiyorum premium olanı kullanıyoruz,6,"[('bezde', 1.0)]","[('geceleri tavsiye etmiyorum', 9.0), ('premium olanı kullanıyorıuz', 9.0), ('gündüzler tamam', 4.0), ('bezde', 1.0)]"
37,sürekli sızdırıyor.önceki kullandığım prima ürünlerine hiç benzemiyor.,negative,sürekli sızdırıyorönceki kullandığım prima ürünlerine hiç benzemiyor,44,"[('benzemiyor', 1.0)]","[('sürekli sızdırıyor', 4.0), ('benzemiyor', 1.0)]"
38,prima satın aldım. ancak sebebi her neyse pampers marka geldi. bu da fena degil ama.,negative,prima satın aldım ancak sebebi her neyse pampers marka geldi bu da fena değil ama,48,"[('fena değil', 4.0)]","[('prima satın aldım', 9.0), ('ancak sebebi', 4.0), ('fena degil', 4.0)]"
39,geceleri sızdırıyor. ,negative,geceleri sızdırıyor,6,"[('geceleri sızdırıyor', 4.0)]","[('geceleri sızdırıyor', 4.0)]"
40,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük,negative,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük,47,[],[]
41,gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük,negative,gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük,35,"[('kalitesi', 1.0), ('göre', 1.0), ('düşük', 1.0)]","[('kalitesi', 1.0), ('göre', 1.0), ('düşük', 1.0)]"
42,idare eder,negative,idare eder,12,"[('idare eder', 4.0)]","[('idare eder', 4.0)]"
43,kızım 12 kilo aldığımız bez 11-18 kilo arası 4+kullanıyorduk küçük geliyor diye 5 numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor. 4+tada aynı sorun vardı. sanırım 2 günde bir yatak değiştirmeye devam edecegiz,negative,kızım kilo aldığımız bez kilo arası + kullanıyorduk küçük geliyor diye numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor + tada aynı sorun vardı sanırım günde bir yatak değiştirmeye devam edeceğiz,43,"[('numara aldık', 4.0)]","[('5 numara aldık', 4.0), ('sanırım 2 günde', 4.0)]"
44,urun aldik ama primanin eski kalitesi yok sabahlari bebegimiz uyandigimda alti  kiyafetleri islak bir sekilde buluyoruz primanin buna acil olarak bir cozum bulmasi gerekiyor,negative,ürün aldık ama primanın eski kalitesi yok sabahları bebeğimiz uyandığımda altı kıyafetleri ıslak bir şekilde buluyoruz primanın buna acil olarak bir çözüm bulması gerekiyor,45,"[('şekilde buluyoruz primanın', 9.0), ('çözüm bulması gerekiyor', 9.0), ('ürün aldık', 4.0), ('acil olarak', 4.0)]","[('sekilde buluyoruz primanin', 9.0), ('cozum bulmasi gerekiyor', 9.0), ('urun aldik', 4.0), ('acil olarak', 4.0)]"
45,"aldım ama kafamda soru işaretleri var,,,",negative,aldım ama kafamda soru işaretleri var,7,"[('aldım', 1.0)]","[('aldım', 1.0)]"
46,"bugune dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi. her defasında bez sızdırdı. hatta sızdırmak bile denmez, resmen süzgeç gibi alta geçiriyor. nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi. her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik.  ",negative,bugüne dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi her defasında bez sızdırdı hatta sızdırmak bile denmez resmen süzgeç gibi alta geçiriyor nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik,37,"[('boyunu aldık', 4.0), ('burnumuzdan geldi', 4.0), ('alta geçiriyor', 4.0), ('bezdirdi', 1.0), ('kıyafetlerini', 1.0), ('değiştirdik', 1.0)]","[('defasında bez sızdırdı', 9.0), ('boyunu aldık', 4.0), ('burnumuzdan geldi', 4.0), ('resmen süzgeç', 4.0), ('alta geçiriyor', 4.0), ('bezdirdi', 1.0), ('kıyafetlerini', 1.0), ('değiştirdik', 1.0)]"
47,"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocugu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı.",negative,ürün eski ürün değil çok kalitesiz faturasını atmasam iade edecektim çocuğu pişik yaptı resmen böyle bir ürün satmak size hiç yakışmadı,18,"[('ürün satmak size', 9.0), ('yakışmadı', 1.0)]","[('ürün satmak size', 9.0), ('kalitesiz', 1.0), ('böyle', 1.0), ('yakışmadı', 1.0)]"
48,yenilenen kanallı bezler iyi değil. sürekli sızdırıyor. eskiler daha iyiydi.,negative,yenilenen kanallı bezler iyi değil sürekli sızdırıyor eskiler daha iyiydi,25,"[('iyiydi', 1.0)]","[('sürekli sızdırıyor', 4.0), ('eskiler', 1.0), ('iyiydi', 1.0)]"
49,bence kalitesini artık düşürmüş.ilk cocugumda da bu markayi kullandım o zaman daha iyiydi. çok sızdırıyor sürekli kıyafet değiştiriyoruz. değiştirmeyi düşünüyorum,negative,bence kalitesini artık düşürmüşilk çocuğumda da bu markayı kullandım o zaman daha iyiydi çok sızdırıyor sürekli kıyafet değiştiriyoruz değiştirmeyi düşünüyorum,12,"[('iyiydi', 1.0)]","[('ilk cocugumda', 4.0), ('değiştirmeyi düşünüyorum', 4.0), ('iyiydi', 1.0)]"
50,2 senedir oğlum için kullandığım tek bezdi. son zamanlarada çok fazla sızdırıyor. kanal sistemine geçmeleri hiç iyi olmadı. bu haliyle rezalet. artık almayacağım. bir yıldız bile çok.,negative,senedir oğlum için kullandığım tek bezdi son zamanlara da çok fazla sızdırıyor kanal sistemine geçmeleri hiç iyi olmadı bu haliyle rezalet artık almayacağım bir yıldız bile çok,25,"[('senedir oğlum', 4.0), ('iyi olmadı', 4.0), ('yıldız bile', 4.0)]","[('kullandığım tek bezdi', 9.0), ('kanal sistemine geçmeleri', 9.0), ('2 senedir oğlum', 4.0), ('son zamanlarada', 4.0), ('fazla sızdırıyor', 4.0), ('iyi olmadı', 4.0), ('haliyle rezalet', 4.0), ('artık almayacağım', 4.0), ('yıldız bile', 4.0)]"
51,sızdırma yapiyor. birde islak mendil koyulsa koliye fena olmaz.,negative,sızdırma yapıyor birde ıslak mendil koyulsa koliye fena olmaz,42,[],"[('sızdırma yapiyor', 4.0)]"
52,gerçekten çok kötü kalitesi cok kotu bebegimin kiyafetleri hep nemli oluyor ve kakası sırtına cikiyor,negative,gerçekten çok kötü kalitesi çok kötü bebeğinin kıyafetleri hep nemli oluyor ve kakası sırtına çıkıyor,19,"[('kakası sırtına çıkıyor', 9.0), ('kötü bebeğinin kıyafetleri', 8.5), ('kötü kalitesi', 4.5), ('nemli oluyor', 4.0), ('gerçekten', 1.0)]","[('kakası sırtına cikiyor', 9.0), ('nemli oluyor', 4.0), ('gerçekten', 1.0)]"
53,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kzım sabah uyandığında çişi bezin dışına taşıyor. i̇ncelmesinden diye düşünüyorum. memnuniyetim giderek azalıyor :(,negative,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kızım sabah uyandığında çişi bezin dışına taşıyor incelmesinden diye düşünüyorum memnuniyetim giderek azalıyor,15,"[('inceldiğini gördüm', 4.0)]","[('memnuniyetim giderek azalıyor', 9.0), ('inceldiğini gördüm', 4.0), ('i̇ncelmesinden', 1.0), ('düşünüyorum', 1.0)]"
54,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,negative,arkadaşlar bebeğim için yaklaşık senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordumkali̇te eski̇si̇ gi̇bi̇ değil sızdırıyor,25,"[('arkadaşlar bebeğim', 4.0)]","[('arkadaşlar bebeğim', 4.0), ('yaklaşık 1', 1.0)]"
55,eski prima daha iyiydi sabaha kadar tek bezle sizdirma yoktu ama su yenilenen 3 kanalli ile surekli gunduz bile sizdirmalar mevcut,negative,eski prima daha iyiydi sabaha kadar tek bezle sızdırma yoktu ama şu yenilenen kanal ile sürekli gündüz bile sızdırmalar mevcut,25,"[('şu yenilenen kanal', 9.0), ('eski prima', 4.0)]","[('eski prima', 4.0)]"
56,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar 'a gönderdiler hiçbir sıkıntı yokmuş öle dediler kullanmaya devam ettim şuan prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde.,negative,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar a gönderdiler hiçbir sıkıntı yokmuş öyle dediler kullanmaya devam ettim şu an prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde,31,"[('oğlum doğduğundan beri', 9.0)]","[('oğlum doğduğundan beri', 9.0)]"
57,bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,negative,bezi bağladıktan sonra her kontrol edisimizde bantların ayrıldığını görüyoruz kalite gerçekten kötü,23,"[('bezi bağladıktan sonra', 9.0)]","[('bezi bağladıktan sonra', 9.0), ('kalite gerçekten kötü', 9.0)]"
58,pişik yapıyor,negative,pişik yapıyor,48,"[('pişik yapıyor', 4.0)]","[('pişik yapıyor', 4.0)]"
59,ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde. ya ürün kalitesi düştü yada burada satılan ürün kalitesiz. aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni. tavsiye etmiyorum ,negative,ben yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde ya ürün kalitesi düştü yada burada satılan ürün kalitesiz aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni tavsiye etmiyorum,34,"[('ayrıca tedirgin etti', 9.0), ('tavsiye etmiyorum', 4.0), ('seferinde', 1.0)]","[('ayrıca tedirgin etti', 9.0), ('tavsiye etmiyorum', 4.0), ('seferinde', 1.0)]"
60,ilk 3 numaraya geçtiğimizde ürünü çok begendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi dusurduler,negative,ilk numaraya geçtiğimizde ürünü çok beğendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi düşürdüler,28,"[('oluyor kaliteyi düşürdüler', 9.0), ('beğendik fakat', 4.0), ('nemli', 1.0)]","[('oluyor kaliteyi dusurduler', 9.0), ('begendik fakat', 4.0), ('nemli', 1.0)]"
61,aynı markanın eski bezlere nazaran daha ince altına yaptıgında sırtına kadar cıkıyor elbisede degistirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakısmadı bu ürün,negative,aynı markanın eski bezlere nazaran daha ince altına yaptığında sırtına kadar çıkıyor elbisede değiştirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakışmadı bu ürün,21,"[('kaliteli hale gelmeli', 9.0), ('markaya yakışmadı', 4.0), ('ürün', 1.0)]","[('kaliteli hale gelmeli', 9.0), ('markaya yakısmadı', 4.0), ('ürün', 1.0)]"
62,"prima yeni üç kanallı bezi sızdırıyor, eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum",negative,prima yeni üç kanallı bezi sızdırıyor eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanılıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum,49,"[('alır mıyım biliyorum', 9.0), ('prima yeni', 4.0)]","[('kanallı bezi sızdırıyor', 9.0), ('alır mıyım biliyorum', 9.0), ('prima yeni', 4.0)]"
