id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
25,prima 1 ve 2 numarada sorun yoktu ama 3 numara çok ağır plastik kokuyor.,negative,prima numarada sorun yoktu numara ağır plastik kokuyor,negative,3,tr
26,her yaptığı kaka olduğu gibi dışına cikiyor,negative,kaka dışına çıkıyor,negative,1,tr
27,malzeme kalitesi markette satılan gibi değil. orta kısımlarında delikler var. çamaşır değiştirmek durumunda kalıyoruz. ,negative,malzeme kalitesi markette satılan orta kısımlarında delikler çamaşır değiştirmek durumunda kalıyoruz,negative,1,tr
28,kullandıktan sonra yorum yapıyorum sızdırıyor günde iki bez kullandığımız çocuk şimdi 4 ten aşağı bezlenmiyor. uygun fiyata almıştık fiyatına göre muamele yaptı..,negative,kullandıktan yorum yapıyorum sızdırıyor günde bez kullandığımız çocuk ten aşağı bezlenmiyor uygun fiyata almıştık fiyatına muamele,negative,3,tr
29,arkadaslar gunduz sikinti yok.gece cocuk sirilsiklam oluyor.yeni mikro teknolojisi berbat kaciriyor.bi önceki versiyonda sikinti yoktu...,negative,arkadaşlar gündüz sıkıntı yokgece çocuk sırılsıklam oluyoryeni mikro teknolojisi berbat kaçırıyorbi önceki versiyonda sıkıntı yoktu,negative,3,tr
30,sürekli kullandığım bir bezdi son aldığım paket öncekilere göre daha ince uzun süre bebekte kalınca sızma yapıyor ortalama ömrü 8 saat,negative,sürekli kullandığım bezdi son aldığım paket öncekilere ince uzun süre bebekte kalınca sızma ortalama ömrü saat,negative,0,tr
31,"son aldigim 2 kutudan hic memnun kalmadım.bez ortasindan kiyafete sızdırıyor, prima ya yakışmadı. bu tur sikayetleri görünce de iyice emin oldum. baska marka deneyeceğim",negative,son aldığım kutudan hiç memnun kalmadımbez ortasından kıyafete sızdırıyor prima yakışmadı tür şikayetleri görünce iyice emin oldum başka marka deneyeceğim,negative,0,tr
32,çok pahalı vede yerlimalı olarak bilinen marka hem bunda ucuz hem daha kaliteli bir kere aldım bidaha mümkün deyil,negative,pahalı ve de yerlimalı bilinen marka ucuz kaliteli kere aldım bir daha mümkün değil,negative,0,tr
33,"eski urunler gibi degil. daha ince ve sizdiriyor. 2 yildir cocugun kiyafetine sizma olmadi ancak son aldigim bezlerde neredeyse hergun kiyafetine sizma oluyor. eski bezlerimle kiyasladim, hem daha ince, renk tonu farkli, cizgiler ve yazilar farkli. tavsiye etmiyorum almayin.",negative,eski ürünler değil ince sızdırıyor yıldır çocuğun kıyafetine sızma olmadı son aldığım bezlerde neredeyse hergün kıyafetine sızma eski bezlerimle kıyasladım ince renk tonu farklı çizgiler yazılar farklı tavsiye etmiyorum almayın,negative,0,tr
34,son aldığımız paketten hiç memnun kalmadık. zaman zaman çocuğun üzerine geçirdi.,negative,son aldığımız paketten memnun kalmadık zaman zaman çocuğun üzerine geçirdi,negative,0,tr
35,kesinlikle eski ürünler gibi değil. dikkat edin.ince ve sızdırıyor. paketinin üstünde bulgarca yazıyor sanırım fazla kalan ürün.diğer primalar gibi değil.beğenmedim.,negative,kesinlikle eski ürünler dikkat edinince sızdırıyor paketinin üstünde bulgarca yazıyor sanırım fazla kalan üründiğer primalar değilbeğenmedim,negative,1,tr
36,"bezde bir yenilik yaptılar ardından geceleri sızdırma başladı. gündüzler tamam ama geceleri tavsiye etmiyorum, premium olanı kullanıyorıuz.",negative,bezde yenilik yaptılar ardından geceleri sızdırma başladı gündüzler geceleri tavsiye etmiyorum premium olanı kullanıyoruz,negative,0,tr
37,sürekli sızdırıyor.önceki kullandığım prima ürünlerine hiç benzemiyor.,negative,sürekli sızdırıyorönceki kullandığım prima ürünlerine benzemiyor,negative,4,tr
38,prima satın aldım. ancak sebebi her neyse pampers marka geldi. bu da fena degil ama.,negative,prima satın aldım sebebi pampers marka geldi fena değil,negative,4,tr
39,geceleri sızdırıyor. ,negative,geceleri sızdırıyor,negative,3,tr
40,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı en iyi olan ürün olduğunu kullandıkça gördük,negative,çocuğumuz doğdu doğalı prima kullanıyoruz fiyat kalite oranı iyi ürün kullandıkça gördük,positive,1,tr
41,gelen ürün prima değil yurt dışında satılan pampers ve kalitesi de ona göre daha düşük,negative,gelen ürün prima yurt dışında satılan pampers kalitesi düşük,negative,0,tr
42,idare eder,negative,idare eder,positive,2,it
43,kızım 12 kilo aldığımız bez 11-18 kilo arası 4+kullanıyorduk küçük geliyor diye 5 numara aldık ama geceleri reklamların aksine sıvı yatakta hapsoluyor. 4+tada aynı sorun vardı. sanırım 2 günde bir yatak değiştirmeye devam edecegiz,negative,kızım kilo aldığımız bez kilo arası + kullanıyorduk küçük geliyor numara aldık geceleri reklamların aksine sıvı yatakta hapsoluyor + tada aynı sorun sanırım günde yatak değiştirmeye devam edeceğiz,negative,3,tr
44,urun aldik ama primanin eski kalitesi yok sabahlari bebegimiz uyandigimda alti  kiyafetleri islak bir sekilde buluyoruz primanin buna acil olarak bir cozum bulmasi gerekiyor,negative,ürün aldık primanın eski kalitesi yok sabahları bebeğimiz uyandığımda altı kıyafetleri ıslak şekilde buluyoruz primanın acil çözüm bulması gerekiyor,negative,0,tr
45,"aldım ama kafamda soru işaretleri var,,,",negative,aldım kafamda soru işaretleri,negative,4,tr
46,"bugune dek defalarca küçük bedenlerini aldığımız ürünün ilk defa bu boyunu aldık ve burnumuzdan geldi. her defasında bez sızdırdı. hatta sızdırmak bile denmez, resmen süzgeç gibi alta geçiriyor. nerde yapılıyor nasıl üretiliyor bilmiyorum ancak tamamen bizi bezdirdi. her bez değiştirmede bezle beraber çocuğun tüm kıyafetlerini de değiştirdik.  ",negative,bugüne dek defalarca küçük bedenlerini aldığımız ürünün ilk boyunu aldık burnumuzdan geldi defasında bez sızdırdı sızdırmak denmez resmen süzgeç alta geçiriyor yapılıyor üretiliyor bilmiyorum bezdirdi bez değiştirmede bezle beraber çocuğun kıyafetlerini değiştirdik,negative,2,tr
47,"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocugu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı.",negative,ürün eski ürün kalitesiz faturasını atmasam iade edecektim çocuğu pişik resmen ürün satmak yakışmadı,negative,3,tr
48,yenilenen kanallı bezler iyi değil. sürekli sızdırıyor. eskiler daha iyiydi.,negative,yenilenen kanallı bezler iyi sürekli sızdırıyor eskiler iyiydi,negative,3,tr
49,bence kalitesini artık düşürmüş.ilk cocugumda da bu markayi kullandım o zaman daha iyiydi. çok sızdırıyor sürekli kıyafet değiştiriyoruz. değiştirmeyi düşünüyorum,negative,bence kalitesini düşürmüşilk çocuğumda markayı kullandım zaman iyiydi sızdırıyor sürekli kıyafet değiştiriyoruz değiştirmeyi düşünüyorum,negative,0,tr
50,2 senedir oğlum için kullandığım tek bezdi. son zamanlarada çok fazla sızdırıyor. kanal sistemine geçmeleri hiç iyi olmadı. bu haliyle rezalet. artık almayacağım. bir yıldız bile çok.,negative,senedir oğlum kullandığım tek bezdi son zamanlara da fazla sızdırıyor kanal sistemine geçmeleri iyi haliyle rezalet almayacağım yıldız,negative,2,tr
51,sızdırma yapiyor. birde islak mendil koyulsa koliye fena olmaz.,negative,sızdırma yapıyor birde ıslak mendil koyulsa koliye fena,negative,3,tr
52,gerçekten çok kötü kalitesi cok kotu bebegimin kiyafetleri hep nemli oluyor ve kakası sırtına cikiyor,negative,gerçekten kötü kalitesi çok kötü bebeğinin kıyafetleri nemli kakası sırtına çıkıyor,negative,1,tr
53,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kzım sabah uyandığında çişi bezin dışına taşıyor. i̇ncelmesinden diye düşünüyorum. memnuniyetim giderek azalıyor :(,negative,son aldığım paketteki bezlerin inceldiğini gördüm kim sabah uyandığında çişi bezin dışına taşıyor incelmesinden düşünüyorum memnuniyetim giderek azalıyor,negative,1,tr
54,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,negative,arkadaşlar bebeğim yaklaşık senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite sızdırmazlık eski ürünle uzaktan yakından alakası yok kesinlikle maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordumkali̇te eski̇si̇ gi̇bi̇ değil sızdırıyor,negative,0,tr
55,eski prima daha iyiydi sabaha kadar tek bezle sizdirma yoktu ama su yenilenen 3 kanalli ile surekli gunduz bile sizdirmalar mevcut,negative,eski prima iyiydi sabaha tek bezle sızdırma yoktu şu yenilenen kanal sürekli gündüz sızdırmalar mevcut,negative,3,tr
56,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar 'a gönderdiler hiçbir sıkıntı yokmuş öle dediler kullanmaya devam ettim şuan prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde.,negative,oğlum doğduğundan prima premium care kullandım kere sızdırdı laboratuvar gönderdiler sıkıntı yokmuş öyle dediler kullanmaya devam ettim şu an prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı yeri ıslak uyanıyor laboratuvar sonuçlarında çıkmadı araştırmaları buharla heralde,negative,3,tr
57,bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,negative,bezi bağladıktan kontrol edisimizde bantların ayrıldığını görüyoruz kalite gerçekten kötü,negative,0,tr
58,pişik yapıyor,negative,pişik,negative,3,ku
59,ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde. ya ürün kalitesi düştü yada burada satılan ürün kalitesiz. aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni. tavsiye etmiyorum ,negative,yıldır kullandığım prizma bez hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak buluyoruz seferinde ürün kalitesi düştü yada satılan ürün kalitesiz aldığım ürünün üzerinde bulgarca yazılar yazıyor tedirgin tavsiye etmiyorum,negative,0,tr
60,ilk 3 numaraya geçtiğimizde ürünü çok begendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi dusurduler,negative,ilk numaraya geçtiğimizde ürünü beğendik değişti bebeğimin iç çamaşırı nemli kaliteyi düşürdüler,negative,1,tr
61,aynı markanın eski bezlere nazaran daha ince altına yaptıgında sırtına kadar cıkıyor elbisede degistirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakısmadı bu ürün,negative,aynı markanın eski bezlere nazaran ince altına yaptığında sırtına çıkıyor elbisede değiştirmek zorunda kalıyoruz ürün kaliteli hale gelmeli markaya yakışmadı ürün,negative,4,tr
62,"prima yeni üç kanallı bezi sızdırıyor, eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum",negative,prima yeni kanallı bezi sızdırıyor eski bezle bebeğim sabaha yatardı bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları ıslanılıyor doğduğundan prima kullanıyorduk alır mıyım biliyorum,negative,3,tr
63,"prima da sızdırırsa artık ne alacaz bilemedim , 2 paket aldık bi de :(((",negative,prima sızdırırsa alacağız bilemedim paket aldık bir,negative,2,tr
64,cocugumuz 2 yasinda ve dogdugu gunden beri prima kullaniyorduk..ta ki radikal bir karar verip fiyat rekabeti icin kalitenizden odun verene kadar..bu urun prima kalitesine yakismiyor..,negative,çocuğumuz yaşında doğduğu günden prima kullanıyordukta radikal karar verip fiyat rekabeti için kalitenizden odun verene kadarbu ürün prima kalitesine yakışmıyor,negative,4,tr
65,ne yazıkki artık bezinizi almayacağım. çünkü sürekli sızdırma problemi oldu. i̇lk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bi şey değişmedi. artık prima kullanmayacağım. eski hali daha iyiydi bu bezin ilgililere duyurun lütfen.,negative,yazık ki bezinizi almayacağım sürekli sızdırma problemi ilk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler bir değişmedi prima kullanmayacağım eski hali iyiydi bezin ilgililere duyurun lütfen,negative,3,tr
66,primanin indirimli bezlerinde kalite hataları var! o kadar sizdiryor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor!,negative,primanın indirimli bezlerinde kalite hataları sızdırıyor seferinde çocuğun giysilerini değiştirmek gerekiyor,negative,2,tr
67,i̇yi güzel,negative,iyi güzel,positive,2,tr
68,prima daha oncede kullandim ama bu kadar kalitesiz bir prima kullanmadik.yapistirma yeri kopuyor.hemen doluyor kalite sifir.tavsiye etmiyorum kimseye,negative,prima öncede kullandım kalitesiz prima kullanmadıkyapıştırma yeri kopuyorhemen doluyor kalite sıfırtavsiye etmiyorum kimseye,negative,3,tr
69,sanki piyasadaki en kötü ürün gibi bir havası var. 3 yıldır kullanıyoruz prima artık tanınacak halde değil. başka markalarda arayışa başladık bile,negative,piyasadaki kötü ürün havası yıldır kullanıyoruz prima tanınacak başka markalarda arayışa başladık,negative,1,tr
70,emici kanallar hiçte emici değil. nerdeee eski prima kalitesi.. maalesef bu yeni primayı hiç beğenmedim,negative,emici kanallar hiçte emici nerdeee eski prima kalitesi maalesef yeni primayı beğenmedim,negative,3,tr
71,primayı 1 yıldan fazla kullandık ta ki  eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler.ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar  çok kötü yorumları okumanızı tavsiye ederim...,negative,primayı yıldan fazla kullandık eylül ayına eylül ayından kaliteyi düşürdülerse demek istediğimi anlamak bezin ocak ayından güne kötü yorumları okumanızı tavsiye ederim,negative,1,tr
72,yeni üretilen bezler incelmiş sanki. sürekli sızdırıyor. elimdekiler bitince farklı marka tercih edeceğim.,negative,yeni üretilen bezler incelmiş sürekli sızdırıyor elimdekiler bitince farklı marka tercih edeceğim,negative,3,tr
73,çok incelmiş. sızdırıyor. bildiğimiz prima değil... üzgünüm ama tavsiye etmiyorum... aldığıma pişman oldum...,negative,incelmiş sızdırıyor bildiğimiz prima üzgünüm tavsiye etmiyorum aldığıma pişman oldum,negative,3,tr
74,"sadece 1 numara bezde sorun yaşamadik, 2 ve 3 beden bezler çok kötü, hem sizdiriyor hem son dönemde pi̇şi̇k yapti, son paket bi̇tsi̇n bi̇r daha asla..",negative,sadece numara bezde sorun yaşamadık beden bezler kötü sızdırıyor son dönemde pi̇si̇k yaptı son paket bi̇tsi̇n bir,negative,3,tr
75,premium careden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu. kimseye önermem berbat,negative,premium careden fiyatı uygun kullanmaya başladık kızımda pişik mantar oluşumuna kimseye önermem berbat,negative,3,tr
76,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bi değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bisi değil marketten vs yerden alincada aynı. bilmiyorum böyle düşünen varmı. ,negative,arkadaşlar uzun zamandır kullanıyorum kalitesinde bir değişim sızdırmaya başladı özel bir şey marketten vs yerden Alina'da aynı bilmiyorum düşünen var mı,negative,1,tr
77,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi. ancak fiyatı fena değil . alınabilir tavsiye ederim. memnunuz ,negative,markette satılanlardan sert anlayamadım tabi fiyatı fena alınabilir tavsiye ederim memnunuz,negative,4,tr
78,oğlum doğduğundan beri kullanıyorum.çok memnundum. ama bu yenilenen prima çok kötü.her gece kıyafet değiştiriyoruz.kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .,negative,oğlum doğduğundan kullanıyorumçok memnundum yenilenen prima kötüler gece kıyafet değiştiriyoruzkullanmayı bilmiyorlar yazanlara söylüyorum aydır kullanıyoruz,negative,4,tr
79,kesinlike kaliteyi sıfırlamışlar.hem sızdırıyor hemde çırtlı yeri açılıyor.,negative,kesinlikle kaliteyi sıfırlamışlarhem sızdırıyor hem de cırtlı yeri açılıyor,negative,2,tr
80,yaklaşık 2 yıldır kullanıyorum.bu zamana kadar hiç şikayetim yoktu.son aldığım bez berbat.sızdırıyor.kalite düşmüş.tavsiye etmiyorum.,negative,yaklaşık yıldır kullanıyorumbu zamana şikayetim yoktuson aldığım bez berbatsızdırıyorkalite düşmüştavsiye etmiyorum,negative,0,tr
81,"son aldığım bezler sızdırıyor,eskiden aldıklarım böyle değildi.",negative,son aldığım bezler sızdırıyoreskiden aldıklarım değildi,negative,0,tr
82,uzun zamandır kullanıyoruz. çok sıkıntı yaşamadık. tavsiye ederim...,negative,uzun zamandır kullanıyoruz sıkıntı yaşamadık tavsiye ederim,positive,1,tr
83,hiç eskisi gibi değil. artık sızdırıyor. neden böyle incelttiler anlamıyorum. herhalde para meselesi,negative,eskisi sızdırıyor incelttiler anlamıyorum herhalde para meselesi,negative,2,tr
84,"""son aldığım bez sızdırıyor"" ....  çok yazık !!!  böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil.. ",negative,son aldığım bez sızdırıyor yazık büyük firmanın hatalı ürünlerini piyasaya sürmesi akıl alır,negative,3,tr
85,eskiden çok kaliteliydi. aama şuan üretilenler berbat. eski ürünler kalın ve muhteşem emicilik ve kuruluk saglıyordu. şuan üretilenler çok ince ve her çiş sızdırıyor. her çiş yapışından sonra bezle birlikte kıyafet te degişiyoruz. eski kalitesine dönmedigi sürece bu markayı asla kullanmayacagız,negative,eskiden kaliteliydi ama şu an üretilenler berbat eski ürünler kalın muhteşem emicilik kuruluk sağlıyordu şu an üretilenler ince çiş sızdırıyor çiş yapısından bezle birlikte kıyafet te değişiyoruz eski kalitesine dönmediği sürece markayı kullanmayacağız,negative,4,tr
86,yenilenen primayı beğenmedim. çünkü sızdırıyor her seferinde kızımın  bütün kıyafetlerini değiştirmek zorunda kalıyorum. en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası. umarım yorumlar dikkate alınır. siteden yana hiç bir sıkıntı yaşamadım.,negative,yenilenen primayı beğenmedim sızdırıyor seferinde kızımın kıyafetlerini değiştirmek zorunda kalıyorum başından beridir prima kullanıyordum hayal kırıklığı açıkçası umarım yorumlar dikkate alınır siteden yana sıkıntı yaşamadım,negative,0,tr
87,pri̇ma kali̇tesi̇ tartişilmaz tabi̇ki̇de ama i̇nternetten alinnan i̇le marketten aldiğiniz arasinda fark edi̇lecek bi̇r i̇nceli̇k söz konusu.,negative,prizma kalı̇tesi̇ tartışılmaz tabi̇ki̇de İnternet'ten alınan ile marketten aldığınız arasında fark edi̇leçek bir i̇nceli̇k söz konusu,positive,0,tr
88,20 aylık kızıma doğduğundan beri prima alıyoruz. hatta sürekli hepsi buradadan aldık ve alışverişimizde hiçbir problem yaşamadık. ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu. kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor. bir daha kesinlikle prima almam. ,negative,aylık kızıma doğduğundan prima alıyoruz sürekli kuradadan aldık alışverişimizde problem yaşamadık son aydır prima bez kalitesini değiştirdi kötü kızımın belinde kızarıklık aşırı sızdırıyor kesinlikle prima almam,negative,3,tr
89,yine hepsiburadaya devam ancak farklı bez tercihi ile.,negative,hepsiburadaya devam farklı bez tercihi,negative,1,tr
90,her zamankinden farklı geldi kalitesiz sizdiriyor tavsiye etmem,negative,zamankinden farklı geldi kalitesiz sızdırıyor tavsiye etmem,negative,1,tr
91,yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,negative,yeniledik demişler mahvetmişler bezi kalite sıfır müthiş sızdırıyoremicilik kalmamış kutu almıştım de başka bez alacağım tavsiye etmiyorum,negative,3,tr
92,"yaklaşık bir ay önce aldım bu ürünü.bez hiç iyi çıkmadı.sızdırma yapıyor,daha önce de almıştım böyle bir şey yok du.ama bu son ürün çok kötü tavsiye etmem",negative,yaklaşık ay aldım ürünübez iyi çıkmadısızdırma yapıyordaha almıştım yok duama son ürün kötü tavsiye etmem,negative,4,tr
93,oğlumun doğduğundan beri bu markayı kullanıyoruz.  i̇lk defa başımıza geldi. sizdirmasini münferit sandık. ancak son aldığımız kolideki her bez sizdiriyor. çişin çok olmasına da bağlı değil. çok yazık. prima markasının güvenilirliğini zedeliyor.,negative,oğlumun doğduğundan markayı kullanıyoruz ilk başımıza geldi sızdırmasını münferit sandık son aldığımız kolideki bez sızdırıyor çişin olmasına bağlı yazık prima markasının güvenilirliğini zedeliyor,negative,4,tr
