id,texts,labels
47,"ürün eski ürün değil , çok kalitesiz , faturasını atmasam iade edecektim , çocugu pişik yaptı resmen , böyle bir ürün satmak size hiç yakışmadı.",negative
48,yenilenen kanallı bezler iyi değil. sürekli sızdırıyor. eskiler daha iyiydi.,negative
49,bence kalitesini artık düşürmüş.ilk cocugumda da bu markayi kullandım o zaman daha iyiydi. çok sızdırıyor sürekli kıyafet değiştiriyoruz. değiştirmeyi düşünüyorum,negative
50,2 senedir oğlum için kullandığım tek bezdi. son zamanlarada çok fazla sızdırıyor. kanal sistemine geçmeleri hiç iyi olmadı. bu haliyle rezalet. artık almayacağım. bir yıldız bile çok.,negative
51,sızdırma yapiyor. birde islak mendil koyulsa koliye fena olmaz.,negative
52,gerçekten çok kötü kalitesi cok kotu bebegimin kiyafetleri hep nemli oluyor ve kakası sırtına cikiyor,negative
53,son aldığım paketteki bezlerin daha da inceldiğini gördüm ve kzım sabah uyandığında çişi bezin dışına taşıyor. i̇ncelmesinden diye düşünüyorum. memnuniyetim giderek azalıyor :(,negative
54,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,negative
55,eski prima daha iyiydi sabaha kadar tek bezle sizdirma yoktu ama su yenilenen 3 kanalli ile surekli gunduz bile sizdirmalar mevcut,negative
56,oğlum doğduğundan beri hep prima premium care kullandım bir kaç kere sızdırdı laboratuvar 'a gönderdiler hiçbir sıkıntı yokmuş öle dediler kullanmaya devam ettim şuan prima pampers kullanıyorum oğlum sabahları kalktığında üstü başı her yeri ıslak uyanıyor laboratuvar sonuçlarında yine bir şey çıkmadı bunlar araştırmaları buharla yapıyor heralde.,negative
57,bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,negative
58,pişik yapıyor,negative
59,ben 2 yıldır kullandığım prizma bez bu defa hayal kırıklığı yarattı geceleri çocuğun bezini kontrol ettiğimizde üstü başı ıslak şekilde buluyoruz her seferinde. ya ürün kalitesi düştü yada burada satılan ürün kalitesiz. aldığım ürünün üzerinde bulgarca yazılar yazıyor bu ayrıca tedirgin etti beni. tavsiye etmiyorum ,negative
60,ilk 3 numaraya geçtiğimizde ürünü çok begendik fakat daha sonra değişti bebeğimin iç çamaşırı sanki nemli gibi oluyor kaliteyi dusurduler,negative
61,aynı markanın eski bezlere nazaran daha ince altına yaptıgında sırtına kadar cıkıyor elbisede degistirmek zorunda kalıyoruz ürün daha kaliteli hale gelmeli bu markaya yakısmadı bu ürün,negative
62,"prima yeni üç kanallı bezi sızdırıyor, eski bezle bebeğim sabaha kadar yatardı ama bu bezin kesinlikle değişmesi gerekiyor aksi takdirde bebeğimin çamaşırları dahi ıslanıyor doğduğundan beri prima kullanıyorduk ama bir daha alır mıyım biliyorum",negative
63,"prima da sızdırırsa artık ne alacaz bilemedim , 2 paket aldık bi de :(((",negative
64,cocugumuz 2 yasinda ve dogdugu gunden beri prima kullaniyorduk..ta ki radikal bir karar verip fiyat rekabeti icin kalitenizden odun verene kadar..bu urun prima kalitesine yakismiyor..,negative
65,ne yazıkki artık bezinizi almayacağım. çünkü sürekli sızdırma problemi oldu. i̇lk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bi şey değişmedi. artık prima kullanmayacağım. eski hali daha iyiydi bu bezin ilgililere duyurun lütfen.,negative
66,primanin indirimli bezlerinde kalite hataları var! o kadar sizdiryor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor!,negative
67,i̇yi güzel,negative
68,prima daha oncede kullandim ama bu kadar kalitesiz bir prima kullanmadik.yapistirma yeri kopuyor.hemen doluyor kalite sifir.tavsiye etmiyorum kimseye,negative
69,sanki piyasadaki en kötü ürün gibi bir havası var. 3 yıldır kullanıyoruz prima artık tanınacak halde değil. başka markalarda arayışa başladık bile,negative
70,emici kanallar hiçte emici değil. nerdeee eski prima kalitesi.. maalesef bu yeni primayı hiç beğenmedim,negative
71,primayı 1 yıldan fazla kullandık ta ki  eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler.ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar  çok kötü yorumları okumanızı tavsiye ederim...,negative
72,yeni üretilen bezler incelmiş sanki. sürekli sızdırıyor. elimdekiler bitince farklı marka tercih edeceğim.,negative
73,çok incelmiş. sızdırıyor. bildiğimiz prima değil... üzgünüm ama tavsiye etmiyorum... aldığıma pişman oldum...,negative
74,"sadece 1 numara bezde sorun yaşamadik, 2 ve 3 beden bezler çok kötü, hem sizdiriyor hem son dönemde pi̇şi̇k yapti, son paket bi̇tsi̇n bi̇r daha asla..",negative
75,premium careden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu. kimseye önermem berbat,negative
76,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bi değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bisi değil marketten vs yerden alincada aynı. bilmiyorum böyle düşünen varmı. ,negative
77,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi. ancak fiyatı fena değil . alınabilir tavsiye ederim. memnunuz ,negative
78,oğlum doğduğundan beri kullanıyorum.çok memnundum. ama bu yenilenen prima çok kötü.her gece kıyafet değiştiriyoruz.kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .,negative
79,kesinlike kaliteyi sıfırlamışlar.hem sızdırıyor hemde çırtlı yeri açılıyor.,negative
80,yaklaşık 2 yıldır kullanıyorum.bu zamana kadar hiç şikayetim yoktu.son aldığım bez berbat.sızdırıyor.kalite düşmüş.tavsiye etmiyorum.,negative
81,"son aldığım bezler sızdırıyor,eskiden aldıklarım böyle değildi.",negative
82,uzun zamandır kullanıyoruz. çok sıkıntı yaşamadık. tavsiye ederim...,negative
83,hiç eskisi gibi değil. artık sızdırıyor. neden böyle incelttiler anlamıyorum. herhalde para meselesi,negative
84,"""son aldığım bez sızdırıyor"" ....  çok yazık !!!  böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil.. ",negative
85,eskiden çok kaliteliydi. aama şuan üretilenler berbat. eski ürünler kalın ve muhteşem emicilik ve kuruluk saglıyordu. şuan üretilenler çok ince ve her çiş sızdırıyor. her çiş yapışından sonra bezle birlikte kıyafet te degişiyoruz. eski kalitesine dönmedigi sürece bu markayı asla kullanmayacagız,negative
86,yenilenen primayı beğenmedim. çünkü sızdırıyor her seferinde kızımın  bütün kıyafetlerini değiştirmek zorunda kalıyorum. en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası. umarım yorumlar dikkate alınır. siteden yana hiç bir sıkıntı yaşamadım.,negative
87,pri̇ma kali̇tesi̇ tartişilmaz tabi̇ki̇de ama i̇nternetten alinnan i̇le marketten aldiğiniz arasinda fark edi̇lecek bi̇r i̇nceli̇k söz konusu.,negative
88,20 aylık kızıma doğduğundan beri prima alıyoruz. hatta sürekli hepsi buradadan aldık ve alışverişimizde hiçbir problem yaşamadık. ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu. kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor. bir daha kesinlikle prima almam. ,negative
89,yine hepsiburadaya devam ancak farklı bez tercihi ile.,negative
90,her zamankinden farklı geldi kalitesiz sizdiriyor tavsiye etmem,negative
91,yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,negative
92,"yaklaşık bir ay önce aldım bu ürünü.bez hiç iyi çıkmadı.sızdırma yapıyor,daha önce de almıştım böyle bir şey yok du.ama bu son ürün çok kötü tavsiye etmem",negative
93,oğlumun doğduğundan beri bu markayı kullanıyoruz.  i̇lk defa başımıza geldi. sizdirmasini münferit sandık. ancak son aldığımız kolideki her bez sizdiriyor. çişin çok olmasına da bağlı değil. çok yazık. prima markasının güvenilirliğini zedeliyor.,negative
94,yenilenen emici kanallar marka değerini düşürmüş. eski bezlerde torbalanma oluyordu ama kaliteliydi. bu yenilenen bezler bariz kalitesiz ve sızdırıyor.  artık prima almayacağım. i̇lk günden beri prima kullamıyorduk 16 ayın sonunda yollarımız ayrılıyor malesef.,negative
95,"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim, ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var, ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz, sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz, hepsi buradanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş, yada türkiyeye gönderdiği ürünleri kötü, alırken özellikle bu olumsuzlukları göz önüne getirin...",negative
96,maalesef ilk kez eksik not aldı prima bizden. her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı. önceki bezlere göre daha ince ve kalitesiz. bunu 1 hafta kullandıktan sonra fark ettik. bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı.i̇lginç bir detay; ürünün dış kutusunda rusça yazılar var.,negative
97,uzun suredir kullaniyorum. yenilenen paket berbat cok cok kotu. her sabah ust degistiriyoruz. ortasindan ve on kismindan surekli sizdiriyo. 12 saat degil 5-6 saat bile kuru kalmiyo. alacak olanlara kesinlikle tavsiye etmiyorum. umarim prima urunlerini toplatir,negative
98,i̇nce sızdırıyor ve kalitesiz ve yapışkan bantları tutmuyor . bir daha almayacağım. ,negative
99,bu fiyata prima çok iyi dedim. primadan yana bi sıkıntımız yoktu ancak son yeşil paketler gerçekten kötü. ürün incelmiş çok kokulu ve dahası sırttan sozdırıyor. kutuların üzerinde rusça yazılar var almayın derim.,negative
100,ürünü 2 hafda once aldim fiyati iyi yanliz ürün kaliteli değil sizdiriyo ve yapışkanları kopuyor bezlerken ,negative
101,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, haftada bir kez kesin gece sızdırıyor, sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir (!!!)",negative
102,paketinde rusça yazılar yazan kutuların içindeki bezler  ile paketinde tamamen türkçe yazılar yazan kutuların içindeki bezler çok farklı. dışardan gelenler çok daha ince ve anormal ölçüde sızdırıyor. aktif emici kanallı bezler çıkıncaya kadar prima çok süper iş görüyordu ancak bu son ürünlerde sızdırma problemi çok fazla. bu şikayette bulunan kişilere de tamamen katılıyorum.  bebeğimin doğumundan bu yana kullandığımız ürünler son derece kaliteliydi ama  bu son versiyon ürünlerin kalitesizliği prima kalitesine hiç yakışmadı... prima yetkililerinin piyasadaki bu farklı kalitede satılan ürünlere müdahale etmesinii bekliyorum.tüketicisine saygısını göstermeli ve marka değerini korumalıdır...,negative
103,memnun değilim yeni primadan sızdırıyor ve kötü kokuyor,negative
104,eski prima daha iyidi  bu sizdiriyor yeşil tabaka li incecik  birde.  ,negative
105,yeni yeşil bezler hiç güzel değil çok ince ve hiç bir güven hissi vermemektedir. prima kadar önemli bir firma bu şekilde kötü bir bez seçmesi veya tasarlaması çok kötü bence saygılar,negative
106,evet yenilendi inceldi bezler eskileri gibi suyu tutmuyor sizdiriyor memnun değiliz bizde ama marketler de aynı ürün var :( eskiden 12 sattı bile sızdırma olmuyordu şimdi 5 saati geçmiyor ,negative
107,çok kötü hiç bir bebek bezinde bu kadar islakligi dışarı verdiğini görmemiştim hiç bez yok gibi çiş olduğu gibi disarda,negative
108,yeni oluklu prima eskiye göre ince ve bence eskisi daha kaliteliydi. orjinal olup olmadığı tereddütü bile yaşadık. keşke değiştirmeseydi çok memnunduk ,negative
109,"son gelen urunden hic memnun kalmadım. bebegimde hic pisik problemi yasamamıstım ki hep prima kullanırım. urunle, serisiyle ilgili bir sıkıntı oldugunu dusunuyorum. ilk gunden itibaren bebegimde cok kotu bir pisik yaptı hala iyilestirmeye calısıyorum. 2 kutu almıstım birini actıgımdan dolayı digerini iade edebildim. tavsiye etmiyorum.",negative
110,kesinlikle kötü. normal pakette satılanlarla aynı değil.,negative
111,"son aldığımız prima diğerlerinden daha ince ve de kötüsü sızdırıyor. eger prima ürünü bozmadıysa sahte bu. diger türlüde kandırıldık sayılır zaten, prima kalitesi deyip alıyorsun dandik çıkıyor.",negative
112,rus malı kalitesiz tavsiye etmiyorum. türkiyedekilerden farklı ve daha ince,negative
113,"primanin yeni yeşil logolu bezi tamamen rezalet. sizdiriyor, kağıt gibi hiçbir işe yaramıyor.",negative
114,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, degistiricez.",negative
115,oğlum doğduğundan beri kullanıyorum son aldığımız paket sızdırıyor. aylık paket aldığım için 2 paket almıştım. eski üründen gayet memnundum yenilenen ürün kalitesiz.,negative
116,pisik yapiyor sizdiriyor kizartiyor cok bereketsiz koku yapti,negative
117,değerlendirmede ortalaması iyi olmasına aldanmayın..yapılan güzel yorumlar benim gibi eski üründen dolayı verilmiş puanlardan kaynaklı.. yenisini kardeşim kullandı berbat..kokuyor ve kaçırıyor...marka ivedi bir şekilde kendini yenilemeli..bugüne kadar primadan başka bez kullanmadım..şimdi piyasada eski bezlerden arıyorum...yada başka markaya yöneleceğim..,negative
118,i̇ki kez sipariş verdim ilk gelen bez cok iyiydi ama son gelen bez çok inceydi ,negative
119,"prima kalitesine hiç yakışmayan bir bez üretmişsiniz, artık başka markaya geçeceğiz.  çiş devamlı üstüne çıkıyor, her gece üst baş değişiyoruz. çok yazık.",negative
120,prima rusca yazan paketindeki urunler feci sizdiriyor ve cocugu rahatsiz ediyor. daha once aldigim urunler daha kalin ve sizdirmiyordu. istedigim urun satisa sunulmayana kadar alisveris yapmayi dusunmuyorum.,negative
121,"acilen tüm ürünlerinizi toplatın lütfen, paramıza yazık olmasın diye mecbur kullandık ama hep dışarı sızdırıyor, hiç olmadı yakışmadı size prima yetkilileri....",negative
122,berbat bebeğimin altı hep nemli kalıo bulursanız eskisini alın derim resmen hayal kırıklığı 12saate kadar kuruluk diyor ama emin olun 2 çişte sızıo ve ıslanıo kıyafetleri üretim hatası olmuş resmen bir daha da prima almam ,negative
123,kızım 20 aylık oldu. bu zaman kadar bir sıkıntım yoktu. yeni gelen koliden çıkan bezler ince ve rahatsız edici pişik yapmaya başladı. son iki koli aldım bin pişman oldum aldığıma. gidin en kötü bezi kullanın bunu almayın şiddetle tavsiye etmiyorum haberiniz olsun,negative
124,bebegimin butun bezlerini hb dan aldim hepsi bugune kadar superdi fakat bu son paket com sıkıntıli devamli arkadan sizdiriyor esim herseferinde ustbas degistirmek zorunda kaliyor bir koli bez cop olacak bi gidisle bir an once hb buna cozum bulursa seviniriz bu urunu satistan cikartmaniz dilegiyle,negative
125,yeni ürünler daha emici diye reklam yapılıyor ama eskisine nazaran daha çok sızdırıyor. kullanım ve rahatlık olarak eskilerinden daha iyi ama sızdırmazlık kötü. ,negative
126,son aldığım 2 koli prima mega box  5 numara ürünleri kalitesiz çıktı.ürün rusya yapımı prima kalitesi ile alakası yok içindeki emici zerreciklerin az olması bezin ince olması ambalajın ince olması ve en önemlisi ıslaklığı hemen dışa vermesi emici özelliği hiç yok.bu rusya yapımı ürünleri bence daha satılmamalı ve toplatılmalı ben şim di bu ay prima almayıp başka bir marka alacağım işin açıkcası...teşekkürler.,negative
127,ne olmuş prima yenilik yapacağız derken batirmislar. bez çok fazla sizdiriyor,negative
128,yorumlara aldanarak aldık ama çok pişmanım her kaka yaptığında az da yapsa çok ta yapsa mutlaka ama mutlaka bacaklarından yada sırtından taşırıyor her alt değiştiğimizde kıyafette değiştiriyoruz bu bezin sayesinde.. kalan paketleri çöpe atıcam böyle bişey olamaz ... kaliteli marka diye aldanıp sakın satın almayın sinir sahibi olursunuz... görüp görebileceğiniz en kötü bez olduğuna emin olun başka ne diyim sakın ama sakın satın almayın!!!!!!!!,negative
129,"ürün çok kötü olmuş, ilk kalitesinde değil.. kesinlikle para vermenin değmeyeceğini düşünüyorum bu beze ",negative
130,yeni ürün incelmis. cok hafif. ancak çok sızdırıyor. bir ayda biten kutu bu sefer 3 hafta dayanmadi. degistirmezlerse almicam. öncekiler daha iyiydi.,negative
131,"dün aldığım bezler daha öncekilerden farklı, içerisinde emici yuvarlak tanecikler yok,  mavimsi düz bir tabaka var. eskisi daha güzeldi.",negative
132,"daha önceden satın alıyordum, herhangi bir sorun yoktu.",negative
133,"fakat son aldığım paket incecik, kalite düzeyi çok düşük.",negative
134,"normal ürüne geçene kadar ürün almıycam, alana da tavsiye etmiyorum....",negative
135,yeni çıkan primalar  sözde emici özelliği varmış ama malesef tam tersine hiç emmiyo ve pişik olmasına sebep oluyo  3-5 kuruş hesabı yaparken bir kutu bez çöpe gitti allahtan hepsiburada gibi dürüst satıcılar var diğer kutuyu sorgusuz sualsiz geri aldı buda bize ders oldu emici kanallar yalanina inanmiyacagiz  hepsiburada ya 5  yıldız süper hızlı ilgi alaka 10 numara,negative
136,eski kalitesinde değil. ürünü çok bozdular. bezin arka kısmında yumuşak doku olacağı yerde bölge bölge sertleşmiş pamuk-pudra karışımı maddeler var ve bunlar da çocuğun poposunu çok tahriş ediyor. çocuğum sürekli poposundaki bezden şikayetçi olmaya başladı.,negative
137,"yeteri kadar ememiyor,cocuk çoğu sabah kendisi ve yatak ıslak uyanıyor.",negative
138,oğluma prima  kullandım. şimdi kızımada prima kullanıyordum taa kii bu son çıkan bezle tanışana kadar..5 numaraya kadar gayet güzel fakat son çıkardıkları emici bez çiş yerine sadece parayı emiyo başka bir şey değil yani .her seferinde kızımın kıyafetleri ıslanıyor.  yanlarda sızdırıyor oda yetmiyor bezin kendinden de sızdırıyor.. aylık paket olarak almıştım hepsiburadadan artık bu kutu bitsin başka marka kullanacağim..,negative
139,ürün yenilenmiş 2 yıldır kullandığım bez sanki tamamen değişmiş geldi. ürün orta bölümünden sızıntı yapıyor. önceden 8 saat bile dursa sızmaz şişerdi  bez şimdi yenilenen üründe 2-3 saat gibi kısa bir sürede orta bölümünden sızıntı yaşanıyor. tasarım hatası olduğunu düşünüyorum.,negative
140,çocuğumuzun bezlerini hep buradan aldık. çok memnunduk.,negative
141,ancak son siparişte fark ettik ki bezler değişmiş. çok kalitesiz olmuşlar.,negative
142,eski siparişlerin kutusu duruyor yan yana koyunca kutu neredeyse %40 küçülmüş.,negative
143,ama bez sayısı aynı. demek ki bezlerin malzeme kalitesi çok düşürüldü.,negative
144,artık buradan bez almayacağım.,negative
145,bebeğim doğduğundan beri kullanıyordum. son aldığım yeni çıkan reklamlarda çoookkk güzel anlatılan bez berbat. sürekli orta kısmından sızdırıyor. hemde az bir çişte sızdırıyor. kenarlardan sızdırsa anlayacağım da ortadan sızdırması garip. hatalı tasarım olmuş. üç emici kanal diyor ama kanallar tıkalı sanırım ilerlemiyor çişler. :)yeni primayı kimseye önermiyorum. bulabilirseniz eskisinden alın derim.,negative
146,"bez siparişimiz, her zaman ertesi gün elimize ulaşıyor, bu konuda sıkıntı yok. ancak aylardır kullandığımız ve hiç sorun yaşamadığımız 5 numara prima'nın yeni içeriğini hiç beğenmedik. çocukta ileri derecede pişik yaptı. sanırım bez markasını deiğiştirme vakti geldi. ",negative
147,yıllardır 2 çocuğumuzda da kullandığımız ürün olmasına rağmen son 1 aydır marketten olsun burdan olsun aldığımız bezler ince ve sızdırıyor kalitesiz olduğu çok belli ucuz bezlere dönmüş başka markalara yönelsin herkes bende öyle yapacağım,negative
148,sizdiriyor. marketlerdeki prima yla alakası yok.,negative
149,"daha önce kullandığımız 5 bedenden memnunduk, aynı bedeni tekrar sipariş ettik. bu defa gelen 5 beden çok ince ve iç dokusu çok sert bebeğin cildini kızartıyor. ayrıca müşteri hizmetlerini aradığımda paket açıldığı için yapabilecekleri birşey olmadığını söylediler.paketi açmadan nasıl anlayabilirdim ki bezlerin eski kalitede olmadığını ??? umarım bez ve hepsi̇burada en yakın zamanda eski kalitesine kavuşur....",negative
150,yaklaşık 1 senedir kesintisiz prima kullandık bebeğimize,negative
151,ancak eylülden itibaren aldığımız ürünlerde ciddi sorunlar var,negative
152,"sızdırıyor, pişik yapıyor, koku veriyor...",negative
153,kaliteden taviz vermişler,negative
154,bunca yazılanlari umarım ciddiye alırlar,negative
155,bezler değişmiş incelmis sizdiriyo iade ettim.,negative
156,dikkat !,negative
157,bir önceki siparişteki bezle alakası yok. ,negative
158,hem ince hem sızdıriyor hem de pişik yaptı.,negative
159,başka ürün bakacağız mecbur. ,negative
160,elimizdeki bezleri de pişik ilerlememesi için kullanmaktan vazgeçtik. ,negative
161,"ürünün tasarımı değişmiş ve çok kalitesiz olmuş. her gece bez sızdırıyor ve çocugun üzeri, yatak filan rezil oluyor. üç kanal diye tasarım yapmışlar bezin önü şişiyor orta taraf emmiyor.",negative
